旅宿民稱,地址,電話,官方網站,總房間數,定價,星級
和田家,宜蘭縣冬山鄉武淵村武罕三路29號,0918-660077,-,4間,NT$3000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
藝術紐約田園民宿,宜蘭縣壯圍鄉新南路109之1號、之2號,02-27931169,http://1066.8168.com.tw/,5間,NT$2500-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
月牙泉民宿,宜蘭縣羅東鎮北投街221號,03-9613629,http://www.yueyaquan.com.tw,3間,NT$2500-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
優遊真綻民宿,宜蘭縣羅東鎮新群里新群五路58號,0912-590689,http://www.yoyolife.com.tw/,5間,NT$3000-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
真欣渡假飯店,宜蘭縣五結鄉協和里公園路98巷17、19號,03-9600899,-,10間,NT$1820-1820(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
柴柴屋,宜蘭縣五結鄉五結中路二段559巷5號,03-9507195,http://www.shibabnb.tw,3間,NT$3000-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
明池山莊(明池森林遊樂區),宜蘭縣大同鄉英士村明池山莊1號,03-9894104,http://www.lealeahotel.com/makauy/,111間,NT$7920-16500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
蜻蜓雅茿民宿,宜蘭縣三星鄉大洲村五分路二段387號,0937-162105,http://www.dragonflybnb.com.tw,4間,NT$4200-5600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
土圍１９２民宿,宜蘭縣壯圍鄉大福路三段92號,0933-224380,-,2間,NT$5000-7000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
小鎮漫漫民宿,宜蘭縣三星鄉大埔中路309巷9弄7號,0987-348729,-,2間,NT$2880-7200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
田野居,宜蘭縣壯圍鄉美福村中興六路157號,0936-194806,http://www.countryside157.com,5間,NT$2800-2990(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
山啄木青年旅館,宜蘭縣宜蘭市東港路二段298號,03-9389701,https://app-apac.thebookingbutton.com/properties/centwoohostdirect,9間,NT$1500-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
飛虹民宿,宜蘭縣礁溪鄉德陽村奇立丹路107之12號,0977-056188,-,4間,NT$2500-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
超質家平價民宿,宜蘭縣宜蘭市新生里環市東路三段152號,03-9302112,http://superpar.eebnb.com,5間,NT$2800-7500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
星湖．森活,宜蘭縣冬山鄉梅花路567之1號,0920-350994,-,3間,NT$3880-6060(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
三月三民宿,宜蘭縣羅東鎮河濱路226號,03-9650303,http://yilanminsu-303.com,4間,NT$9800-12800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
蘭庭民宿,宜蘭縣員山鄉賢德路一段30號,03-9232699,http://www.sakurailan.com,5間,NT$5000-6500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
賓成精品商旅,宜蘭縣宜蘭市西後街26-1號,03-9333665,-,28間,NT$2600-4600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
親水89饗樂民宿,宜蘭縣五結鄉協和村親河路2段58巷89號,0988-286883,-,4間,NT$12000-16000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
春夏秋冬,宜蘭縣冬山鄉八仙三路15巷38號,0905-052,-,3間,NT$8000-12000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
羅東夢行館,宜蘭縣羅東鎮西安街171號,0932-064659,http://www.dream171.com.tw,4間,NT$5800-7800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
海田行館,宜蘭縣五結鄉公園二路27巷36號,03-9507017,http://www.Hitenbnb.com,4間,NT$7900-9900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
法頌休閒居,宜蘭縣冬山鄉順安村35鄰義成路二段203巷137號,03-9580771,-,3間,NT$3000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
小舅的家民宿,宜蘭縣蘇澳鎮福德路366巷8號,03-9903300,-,5間,NT$2300-3100(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
羅東田田圈民宿,宜蘭縣羅東鎮竹林街423號,0988-286804,-,5間,NT$1500-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
幸運草庭園民宿,宜蘭縣冬山鄉柯林村柯林路248號,03-9518585,http://www.clover248.com.tw,5間,NT$4000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
築夢屋民宿,宜蘭縣羅東鎮中山路一段591號,03-9606520,http://chudreamhouse.okgo.tw,4間,NT$2800-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
富翔大飯店,宜蘭縣宜蘭市校舍路19號,03-9388386,http://www.fuhotel.com,65間,NT$4400-17600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
泉月樓,宜蘭縣冬山鄉茄苳路217號,03-9595509,-,5間,NT$2000-12800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
