旅宿民稱,地址,電話,官方網站,總房間數,定價,星級
童年往事莊園民宿,彰化縣福興鄉福興村福興路62-500號,0932-603599,-,4間,NT$5500-8800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
康橋商旅員林館,彰化縣員林市靜修路12號5-7樓,04-8381866,https://www.kindness-hotel.com.tw/location-changhua,54間,NT$4500-12000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
鹿遊人文民宿,彰化縣鹿港鎮街尾里文明街26及28號,0965-582600,-,5間,NT$6000-12000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
第八月台汽車旅館,彰化縣彰化市辭修路201巷8弄2號等40戶,04-7222200,-,39間,NT$4980-8560(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
采虹森林,彰化縣秀水鄉鶴鳴村永興巷9-1號,04-7688887,-,5間,NT$2380-2380(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
嘉豐民宿,彰化縣田尾鄉溪畔村溪畔巷246號,04-8240365,-,3間,NT$3500-6600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
展亞商務旅館,彰化縣溪湖鎮大公路179號4-7樓,04-8817566,-,37間,NT$2800-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
好來屋旅舘,彰化縣埤頭鄉和豐村新生路232號,04-8873055,https://www.easehotel.com.tw/,31間,NT$5200-9200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
凱登汽車旅館,彰化縣彰化市中央路174巷13.15號,04-7622196,http://www.kd-motel.com.tw,33間,NT$4000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
青雲靚水,彰化縣秀水鄉明山街69-31號,0982-610417,-,5間,NT$6500-6500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
米蘭汽車旅館田尾分店,彰化縣田尾鄉民族路1段19號,04-8837276,http://www.love-milan.com.tw,27間,NT$2900-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
郁采時尚汽車旅館,彰化縣員林市員鹿路245巷58號,04-8397699,https://reurl.cc/zZqgrV,31間,NT$12700-17550(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
員林商務旅館,"彰化縣員林市三義路115號2,3,4,5,6,7樓",04-8368383,http://www.ylhotel.com.tw,43間,NT$2800-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
金村民宿,彰化縣永靖鄉獨鰲村圳腳巷45號,04-8239939,http://jincun2.okgo.tw/index.html,5間,NT$8000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
鉑鈳民宿,彰化縣鹿港鎮景福里民族路21巷18號,04-7760188,-,4間,NT$4888-4888(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
儷倞旅館,彰化縣鹿港鎮長安路58號,04-7755887,-,35間,NT$9300-13300(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
悠嫻民宿,彰化縣福興鄉彰鹿路7段330巷127弄28號,04-7769938,https://www.easystay.url.tw/,5間,NT$3200-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
彰化桂冠汽車旅館,彰化縣彰化市彰水路31號,04-7623388,http://www.chkkm.com.tw,23間,NT$5180-6380(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
晴天,彰化縣田尾鄉溪頂村三溪路1段329號,04-8837038,https://www.facebook.com/sunny.dayTianwei?mibextid=ZbWKwL,4間,NT$5800-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
