旅宿民稱,地址,電話,官方網站,總房間數,定價,星級
海霞您的家,新北市貢寮區仁愛路38號,09-35204895,https://aodiwu.weebly.com,5間,NT$1880-5980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
望幽谷民宿,新北市瑞芳區汽車路108之3號,02-24966296,-,3間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
晶贊都會旅店台北永和,新北市永和區永和路2段168號3樓,02-29206789,http://www.parkctinn.com,41間,NT$4200-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
麗景民宿,新北市瑞芳區輕便路93號3樓,02-24975217,http://pckatm.myweb.hinet.net/,4間,NT$1800-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
波麗士河堤景觀民宿,新北市瑞芳區三爪子坑路99之1號,02-24063292,-,5間,NT$3000-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
晴悅民宿,新北市瑞芳區基山街31巷27號,0965-407349,http://www.ching-yue.url.tw/,4間,NT$1500-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
集璦飯店,新北市中和區中正路776號,02-66202888,http://geight.com.tw,77間,NT$10000-12000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
九份未眠者花園民宿,新北市瑞芳區石埤巷78號,0938-020916,http://www.sleeplessones.com.tw/,5間,NT$2880-5680(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
沃客伽洲旅社,新北市三重區成功路97號8至9樓,02-29703733,-,53間,NT$16800-31800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
慶城商旅UrbanoneHotel,新北市三重區正義南路55號4樓、4樓之1、4樓之2,02-29701229,-,46間,NT$4980-5280(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
幸福民宿,新北市雙溪區太平路77號,02-24931962,http://sxhappiness.okgo.tw/,2間,NT$2400-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
南瓜大叔民宿,新北市三芝區迎旭街38號,02-86353450,http://pumpkin-uncle.weebly.com,3間,NT$2000-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
九份A-HOME民宿,新北市瑞芳區崙頂路55號,02-24969454,http://a-home.tw/,2間,NT$4000-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
井上天花,新北市瑞芳區三爪子坑路6號,02-24978007,https://www.facebook.com/ChingShangTienHua/,5間,NT$2000-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
福泰翡翠灣渡假飯店,"新北市萬里區翡翠路17號1至2樓,14至18樓",02-24926565,http://www.fortehotelgroup.com/,240間,NT$5800-7200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
香奈爾汽車旅館(新莊店),新北市新莊區後港一路187號,02-29065555,-,55間,NT$5880-8380(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
九份山城山海灣民宿,新北市瑞芳區街頂巷22號,0936-361406,http://mountaincity.ego.tw,3間,NT$2400-3100(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
金龍湖旅館,新北市汐止區湖前街103及105號1至5樓,02-26959339,-,31間,NT$2500-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
愛莉亞汽車旅館,新北市三峽區中山路169巷10號(代表號),02-26741133,-,49間,NT$1580-3080(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
