旅宿民稱,地址,電話,官方網站,總房間數,定價,星級
棒球精緻旅店,新竹市北區西大路549號,03-5261172,-,31間,NT$1200-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
國賓旅館,新竹市東區大同路21號,03-5243164,-,26間,NT$700-1100(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
金頓大飯店,新竹市東區光復路一段238號4-12樓,03-5646655,http://www.kingdom-hotel.com.tw/,88間,NT$3000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
迎曦大飯店(文化店),新竹市東區文化街10號2-10樓,03-5347266,http://www.solhotel.com.tw,174間,NT$8800-15000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
煙波大飯店-麗池館,新竹市東區明湖路773號1-6樓,03-5203181,-,66間,NT$9900-24200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
豪美商旅有限公司,新竹市北區中正路107號11樓,03-5213333,-,21間,NT$3600-4400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
月圓汽車旅館,新竹市北區少年街88號,03-5231728,http://chmoon-motel.wi-fi.net.tw/,34間,NT$1680-1680(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
馬德里經典旅館,新竹市香山區中華路四段729號,03-5305533,http://www.madrid-motel.com.tw/plus/list.php?tid=3,23間,NT$12000-12000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
微旅商務旅館,新竹市東區民生路268號,03-5323183,-,52間,NT$1380-9600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
宏碁大道城飯店,新竹市北區北大路358號,03-5282255,-,118間,NT$1800-16800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
新竹國賓大飯店,新竹市東區中華路2段188號,03-5151111,http://www.ambassadorhotel.com.tw,257間,NT$10000-105000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),5
風之海岸旅館,新竹市北區尚濱路36號,03-5366095,-,45間,NT$1680-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
老爺旅社,新竹市東區光復路二段167號,03-5711585,-,18間,NT$1380-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
歐遊國際精品旅館,新竹市東區埔頂路500號,03-5790088,http://WWW.ALLURMOTEL.COM,20間,NT$3380-22800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
薇閣精品旅館,新竹市北區中正路137號,03-5238080,-,72間,NT$6000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
心園商務旅館,新竹市東區民權路223號,03-5313525,-,32間,NT$2200-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2
承攜行旅新竹中央館,"新竹市東區中央路106號B2,1樓,8-15樓",03-5212323,-,138間,NT$8000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
東賓大旅社,新竹市東區林森路14號,03-5223161,-,47間,NT$800-3950(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
金燕大飯店,新竹市東區民族路13號,03-5227151,-,39間,NT$1180-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
紫晶汽車旅館,新竹市東區頂竹里東南街53巷18號,03-5620789,-,43間,NT$1700-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
煙波大飯店-都會一館,新竹市東區民生路177號,03-6120000,http://www.lakeshore.com.tw/chinese/metropolis/metropolis.htm,238間,NT$8800-17600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
新竹福華大飯店,新竹市北區中正路178號,03-5282323,https://www.howard-hotels.com.tw/zh_TW/HotelBusiness/101,165間,NT$4600-15000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),4
日月光國際大飯店,"新竹市東區中央路355巷16號1,3-6樓",03-5456363,http://www.hotel-j.com.tw,60間,NT$4800-6600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
華泰經典旅店,新竹市東區勝利路15號,03-5243145,-,41間,NT$1400-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
新竹伊普索酒店,新竹市東區公道五路2段111號,03-5169308,https://www.hotelepisode.com/zh/hsinchu,140間,NT$12000-25000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
晶悅精品旅館,新竹市東區關新二街49號,03-6667567,-,57間,NT$2000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
約客旅舘,新竹市北區東大路四段121號,03-5361122,http://www.yorker-hc.com.tw,38間,NT$6000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
新竹老爺大酒店,新竹市東區光復路1段227號,03-5631122,http://www.hotelroyal.com.tw/hsinchu/,208間,NT$8000-16000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),5
金沙商務旅舘,新竹市北區東濱街18號4樓,03-5368221,-,15間,NT$4000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
暐順和選旅,新竹市東區光明里1鄰大學路16號,03-5715888,https://www.thehohotel.com.tw/,173間,NT$9500-60000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
城市花園汽車旅館,新竹市北區東大路二段377號,03-5422989,-,24間,NT$1960-4250(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
新竹德威大飯店,新竹市香山區富群街3號,03-5297300,https://deweihotel.mystrikingly.com/,230間,NT$5500-8500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
芙洛麗大飯店,新竹市東區民族路69號,03-6238899,http://www.fleurlis.com.tw,72間,NT$3000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
左岸假期旅店,新竹市東區中華路二段502號,03-5284800,http://www.easytravel.com.tw/ehotel/room.aspx?n=7780,39間,NT$2880-3980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
悅豪大飯店,新竹市東區復興路22號,03-5267890,https://yuhaohotel.tw/,35間,NT$2240-8980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
吉發明月大飯店,新竹市東區東門街128號,03-5281818,-,64間,NT$3200-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
柏克萊大飯店,新竹市北區中正路151號,03-5251155,http://www.bbhotel.url.tw,39間,NT$5450-12800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
元首大飯店,新竹市東區建功一路29號,03-5711111,-,32間,NT$1800-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
新舍商旅新竹館,新竹市北區西大路658號,03-5221082,http://www.xinshehotel.com/,64間,NT$4200-5180(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
啊囉哈一六八汽車旅館,新竹市北區西濱路1段217號,03-5362277,https://www.168inn.com.tw/zh-tw/,32間,NT$5580-7180(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
卡爾登飯店,新竹市北區北大路225號,03-5259999,http://www.carlton-hotel.com.tw/,117間,NT$7800-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
合悅都會商旅,新竹市北區西大路417號,03-5234499,-,18間,NT$3200-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
東城精品旅館,新竹市東區府後街5巷1號,03-5222648,-,28間,NT$600-800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
柿子紅快捷旅店,新竹市東區大同路23巷5號,03-5223232,http://gorates-hotel.com/web/about/112,39間,NT$2800-5880(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
芝蘭賓館,新竹市東區中華路二段480號,03-5254166,-,48間,NT$680-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
瘋人苑,新竹市東區世界街128號,0989-793997,https://site.traiwan.com/fengjenyuan/,5間,NT$7200-8800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
達龍商旅,新竹市東區東園里4鄰光復路二段808號,03-5166666,-,46間,NT$3200-8800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
賓城大旅社,新竹市東區中正路13號5-10樓,03-5269255,-,36間,NT$750-2300(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
荷米斯飯店,新竹市北區西大路606號1-9樓,03-5269999,-,72間,NT$1200-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
新苑庭園大飯店,新竹市東區大同路11號,03-5226868,http://www.shinyuan-hotel.com.tw/a/indexa.php,65間,NT$6600-12600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
或者風旅,新竹市北區大同路175號,03-5220505,https://m.facebook.com/orinn.hsinchu/,5間,NT$3600-5400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
金座渡假汽車旅館,"新竹市東區明湖路928-2,930號",03-5201833,-,25間,NT$1200-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
豪美旅店,新竹市東區勝利路86號1-2F,03-5218441,-,3間,NT$3000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
水蜜桃時尚旅店,新竹市東區民族路29號,03-5234138,http://gorates-hotel.com/web/summary/56,39間,NT$2200-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
普邑斯商務旅館,新竹市東區東區民權路193號,03-5428681,https://puyisy.ezhotel.com.tw,57間,NT$2730-2880(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
新苑名流都會館,新竹市東區大同路20號,03-5211888,http://www.shinyuan-hotel.com.tw/b/indexb.php,35間,NT$6600-11600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
煙波大飯店-溫莎館,新竹市東區明湖路775巷51號,03-5203181,-,23間,NT$4800-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
湖山渡假汽車旅館,新竹市東區明湖路1001號,03-5203000,https://sun-motel.com.tw,50間,NT$1580-1760(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
向日葵汽車旅館,新竹市北區經國路二段150號,03-5359797,-,31間,NT$2580-3780(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
新都旅館,新竹市東區中南街12號,03-5261131,-,16間,NT$400-400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
水晶旅館有限公司,新竹市北區聖軍路75號,03-5366789,http://www.crystalmotel.com.tw,35間,NT$5200-6400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
琺何旅館有限公司,新竹市東區振興里振興路109號,03-5610011,http://www.vaho.com.tw,42間,NT$13000-13000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
