旅宿民稱,地址,電話,官方網站,總房間數,定價,星級
鍾媽媽民宿,新竹縣橫山鄉內灣村81號,03-5849127,-,2間,NT$2000-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
小星星親子民宿,新竹縣湖口鄉德興路287巷73弄8號,0926-310300,http://www.little-star.com.tw,5間,NT$4500-5300(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
雲端商務旅館,新竹縣竹北市新泰路102號,03-5510129,-,60間,NT$5000-9400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
北昇休閒山莊民宿,新竹縣北埔鄉水磜村8鄰10-3號,03-5804607,http://www.losir.com.tw,5間,NT$2200-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
佐岸,新竹縣橫山鄉內灣村中山街2段51-7號,03-5849320,-,5間,NT$600-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
遷徙咖啡民宿,新竹縣橫山鄉內灣村和平街18號,0983-332511,http://www.facebook.com/migrationbb2015,1間,NT$3800-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
新大竹北商旅,新竹縣竹北市光明九路1號1至6樓,03-6572333,-,55間,NT$9800-9800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
春城汽車旅館,新竹縣新豐鄉中興路176號,03-5573377,-,31間,NT$1980-3550(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
千里福商務旅館,新竹縣新埔鎮義民路3段88號,03-5892008,http://www.c-l-fu.com.tw,39間,NT$3400-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
水田營地民宿,新竹縣尖石鄉新樂村水田190號,03-5841005,-,4間,NT$3200-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
小叮噹科學遊樂區生活大師會館,新竹縣新豐鄉松柏村康和路199號,03-5592132,http://www.ding-dong.com.tw,74間,NT$2860-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
老農夫山莊,新竹縣竹東鎮瑞峰里25-2號,03-5949192,-,4間,NT$2500-6500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
二泉湖畔咖啡民宿,新竹縣峨眉鄉湖光村12寮21-6號,037-603158,-,5間,NT$3900-6400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
朝日溫泉民宿,新竹縣尖石鄉錦屏村4鄰32號,03-5841111,-,12間,NT$3800-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
一家三國民宿,新竹縣峨眉鄉石井村6鄰63-6號,03-5800828,-,4間,NT$2500-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
早苗莊園民宿,新竹縣新埔鎮照門里7鄰5-3號,03-5899099,http://www.budhome.tw,4間,NT$4000-7000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
統一渡假村-馬武督,新竹縣關西鎮金山里34號,03-5478889,http://www.uni-resort.com.tw/ma/,68間,NT$11400-24000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
享豪大飯店,新竹縣竹北市信義街7號,03-6565501,http://www.yuhaohotel.com.tw,106間,NT$2240-9200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
