旅宿民稱,地址,電話,官方網站,總房間數,定價,星級
心有林畦,臺中市東勢區中嵙里8鄰東崎路三段688巷100弄20號,0930-873820,http://heartvilla.mmweb.tw,1間,NT$10000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
赫絲珀HSR高鐵行旅,臺中市烏日區新興路255號,04-23365771,https://www.hesperhotel.com.tw/,74間,NT$9880-18880(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
帶月山丘,臺中市東勢區東崎路三段192巷70號,04-25274805,http://www.dhching.com.tw,1間,NT$3000-5600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
台中日光會館,臺中市北屯區大坑里東山路二段光西巷78號,04-22399000,-,13間,NT$4800-17080(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
君鈦商務飯店,臺中市北屯區大連路1段278,04-22968600,-,74間,NT$2600-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
創意時尚旅店,臺中市北區五權路332、334號1至7樓,04-22022666,http://gorates-hotel.com/web/summary/58,98間,NT$8000-12000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2
歐遊國際精品旅館(台中館),臺中市南屯區文心南路98號,04-24727711,-,40間,NT$6200-13800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
庄園,臺中市后里區太平里公館路20之20號,04-25570543,-,5間,NT$3000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
伊戀汽車旅館,臺中市清水區港埠路三段350號,04-26581766,-,16間,NT$2960-2960(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
富帝大飯店,臺中市南區南屯路1段279號,04-23726855,http://www.fudihotel.com.tw/,42間,NT$2240-2700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
大甲大飯店,臺中市大甲區蔣公路73號,04-26872126,-,57間,NT$600-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
中欣飯店,臺中市中區建國路180號,04-22269666,https://www.butlerhotel180.com.tw/,81間,NT$4500-9000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
