旅宿民稱,地址,電話,官方網站,總房間數,定價,星級
栗華飯店,"苗栗縣苗栗市中華路83,85號",037-270456,http://www.lilyplaza.com.tw,83間,NT$2000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
普羅旺斯鄉村民宿,苗栗縣南庄鄉蓬萊村9鄰42份8之35號,0911-811835,http://www.facebook.com/NanZhuangPuLuoWangSiXiangCunMinSu,5間,NT$4500-12000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
釣魚台農莊,苗栗縣頭屋鄉明德村21鄰仁隆52號,037-254897,http://www.dutfarm.com/story.html,3間,NT$6500-9500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
ㄠ嶩民宿,苗栗縣泰安鄉梅園村2鄰梅園23號,037-962128,-,4間,NT$900-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
慈夢柔民宿,苗栗縣大湖鄉富興村9鄰八寮灣1-10號,037-990099,-,4間,NT$5020-6380(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
蓬萊仙境渡假山莊,苗栗縣南庄鄉蓬萊村10鄰四二份20之8號,037-821511,-,5間,NT$5280-5280(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
任意宿民宿,苗栗縣苑裡鎮苑北里16鄰成功路7巷9號,037-868232,http://www.facebook.com/nsquarehostel,2間,NT$6000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
長青谷,苗栗縣卓蘭鎮上新里15鄰食水坑78號,04-25893329,-,2間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
富邑山莊,苗栗縣南庄鄉田美村4鄰田美72之1號,037-825376,-,3間,NT$4800-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
桐鄉民宿,苗栗縣三義鄉勝興村25鄰水美257之1號,037-879760,-,5間,NT$2200-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
總統民宿,苗栗縣南庄鄉田美村12鄰紫金山莊93號,037-823717,-,4間,NT$4500-14000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
里京館,苗栗縣南庄鄉南江村9鄰里金館33號,037-825185,-,2間,NT$1500-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
泉銘行館,苗栗縣大湖鄉富興村7鄰八寮灣33之31號,037-990959,-,5間,NT$1600-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
微微風民宿,苗栗縣三義鄉廣盛村41鄰八股路館前7巷1-1號,037-877077,http://sanyiweiweifeng.com,4間,NT$2500-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
泰安觀止溫泉會館,苗栗縣泰安鄉錦水村圓墩58-7號,037-941951,-,9間,NT$6320-6320(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
山房子,苗栗縣南庄鄉南江村10鄰石坑18之8號,0933-969573,http://www.mhouse.tw,4間,NT$4800-7800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
福村養生農場,苗栗縣公館鄉福德村1鄰福德7-1號,037-220675,-,2間,NT$12500-30000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
紅蜻蜓民宿,苗栗縣通霄鎮南和里11鄰南和135之2號,037-783376,http://tonbohome.8898go.com,5間,NT$4800-7200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
水頭人家,苗栗縣大湖鄉大寮村10鄰水頭寮14之8號,037-992990,http://water-house.mmweb.tw/,4間,NT$3000-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
藝術巴黎民宿,苗栗縣南庄鄉南江村5鄰東江91號,037-823971,http://artparis.mmweb.tw/,5間,NT$4000-12000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
曲中居音樂民宿,苗栗縣南庄鄉西村5鄰中山路96之3號,037-822207,-,4間,NT$2600-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
米堤園,苗栗縣南庄鄉南江村9鄰里金館40號,037-824558,-,3間,NT$2400-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
栗丘民宿,苗栗縣銅鑼鄉朝陽村1鄰朝北3-1號,0911-270367,-,2間,NT$3800-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
我的花園,苗栗縣公館鄉館南村24鄰館南293-2號,037-229157,-,2間,NT$2980-5980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
翠松苑民宿,苗栗縣通霄鎮南和里10鄰南和127-1號,037-783357,-,4間,NT$2200-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
問樵山居,苗栗縣南庄鄉田美村1鄰田美20號,0936-246535,-,3間,NT$6000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
伴月民宿,苗栗縣南庄鄉蓬萊村5鄰紅毛館68-1號,037-825681,http://moonmate.idv.tw/,5間,NT$3400-5200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
霖園民宿,苗栗縣獅潭鄉永興村3鄰永興16-6號,037-932716,-,3間,NT$1400-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
西湖渡假大飯店,苗栗縣三義鄉西湖村西湖11號,037-876699,https://www.westlake.com.tw/,245間,NT$4500-16500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
福美青鳥山莊,苗栗縣南庄鄉獅山村1鄰田美15-1號,037-822481,-,3間,NT$1500-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
馬拉邦渡假山莊,苗栗縣大湖鄉東興村12鄰上湖87號,037-996889,-,5間,NT$3600-5400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
景舍休閒山莊,苗栗縣南庄鄉蓬萊村9鄰42份8-17號,037-822311,-,4間,NT$2800-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
愛面子民宿,苗栗縣三義鄉雙潭村11鄰雙連潭138號,037-875766,-,1間,NT$3200-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
安碩民宿,苗栗縣造橋鄉大西村8鄰尖豐路186巷1弄66號,037-682991,-,2間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
湖畔栗鯉,苗栗縣大湖鄉新開村2鄰新開69-1號,037-951826,-,5間,NT$2800-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
綠草地,苗栗縣南庄鄉南江村9鄰里金館32-8號,037-824879,http://www.rbvillas.com.tw,5間,NT$4000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
正在旅行,苗栗縣三義鄉廣盛村39鄰八股路館前2巷1之10號,037-876168,http://www.traveling.tw,3間,NT$2400-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
南苗大旅社,苗栗縣苗栗市中正路898號,037-321961-2,-,26間,NT$800-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
鳳櫻碧山莊,苗栗縣南庄鄉蓬萊村9鄰42份8-9號,037-825679,-,4間,NT$3500-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
飛螢農莊,苗栗縣通霄鎮福興里11鄰福興126號,037-783371,-,2間,NT$2700-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
上山回家民宿,苗栗縣大湖鄉東興村5鄰上湖85之5號,0972-906927,http://naifuka.wordpress.com,2間,NT$5000-9800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
高賓旅社,苗栗縣苗栗市中正路116號,037-260268,-,13間,NT$700-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
新百香民宿,苗栗縣南庄鄉南江村14鄰小東河23之5號,037-825850,-,5間,NT$4500-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
欣園民宿,苗栗縣通霄鎮內島里2鄰內島16-7號,037-793553,-,3間,NT$2000-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
