旅宿民稱,地址,電話,官方網站,總房間數,定價,星級
摩天海灣商旅,高雄市前鎮區新光路21號21樓之7至12,07-5366227,https://www.sunshinegarden.com.tw/products-21.html,6間,NT$5500-9000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
城市商旅美麗島館,高雄市新興區民生一路328號1-7樓,07-2519888,http://www.citysuites.com.tw,36間,NT$12600-16800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
御宿汽車旅館民族館,高雄市三民區堯山街51號1-2樓,07-3868988,-,36間,NT$15000-15000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
竹亮山莊,高雄市內門區竹戈寮8之3號,07-6673963,http://blog.xuite.net/glass_house/twblog/160097483,3間,NT$3600-6500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
和樂花園旅店,高雄市前金區榮安街35號1-7樓,07-2825888,-,35間,NT$1760-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
益大商務旅館,高雄市三民區九如二路172號,07-3116181,-,97間,NT$1980-3980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
賀凱大旅社,高雄市林園區東林里林園北路70巷3號,07-6412824,-,25間,NT$1000-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
陽光大飯店中華館,"高雄市苓雅區中華四路75號1,3-12樓",07-3327988,http://www.hotelsunshine.com.tw,58間,NT$8300-15600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
高第大飯店,高雄市苓雅區建民路37號,07-7119061,-,42間,NT$1580-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
冒煙的喬就是公寓旅店,高雄市鹽埕區五福四路91號2至5樓,07-5210987,http://www.smokeyjoes-hotel.com.tw/yancheng/,24間,NT$5000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
希望殿堂精緻商旅,高雄市三民區自立一路303號,07-3131303,http://www.wishinn.com.tw,87間,NT$1000-7700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
好地方旅居文旅,高雄市苓雅區三多四路63號11樓之1,07-2692626,https://www.hubhotel.com.tw/kaohsiung/,70間,NT$5000-8400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
河堤戀館汽車旅館,高雄市苓雅區憲政路128號,07-2233288,-,37間,NT$5200-7800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
愛河日央,高雄市鹽埕區七賢二路423號3樓-1、4樓-1,0963-147586,-,12間,NT$4000-7000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
高雄萬豪酒店,高雄市鼓山區龍德新路222號,07-5599111,https://www.marriott.com/hotels/travel/khhmc-kaohsiung-marriott-hotel/,700間,NT$15000-250000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
金石大飯店,高雄市新興區明星街32號,07-2887171,http://www.milordhotels.com/,65間,NT$1880-6580(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
德瑞旅店,高雄市左營區左營大路646號,07-5820135,-,19間,NT$2800-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
春天藝術飯店,高雄市鳳山區五甲一路364號1-7樓,07-7631027,http://www.spart-hotel.com.tw,48間,NT$3000-7000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
凱莎琳庭園大飯店,高雄市前金區文武三街145號,07-2152158,-,48間,NT$1960-2940(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
碧宮旅社,高雄市甲仙區東安里文化南路18號,07-6751229,-,12間,NT$1000-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
高雄文賓大飯店-駁二館,高雄市鹽埕區大勇路22號,07-5612346,http://www.wenpin.com.tw,56間,NT$7680-13000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
旅港汽車旅館,高雄市小港區宏平路93號,07-8063880,-,34間,NT$1280-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
日光花園商務飯店,高雄市新興區民生一路77號1至7樓,07-2229898,http://www.sunhotel77.com.tw,48間,NT$7700-9900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
盛薈飯店,高雄市三民區安寧街387號,07-9723788,http://www.deltonhotel.com.tw,118間,NT$2400-6500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
漢來大飯店,高雄市前金區成功一路266號1樓、2樓、10-13樓、15-19樓、22-42樓,07-2161766,http://www.grand-hilai.com,540間,NT$11319-346500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),5
寒軒國際大飯店,高雄市苓雅區四維三路33號,07-3322000,http://www.han-hsien.com.tw,311間,NT$6600-120000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),5
桂林民宿,高雄市美濃區廣林里16鄰朝元159-6號,07-6810172,-,5間,NT$2000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
喜悅大飯店,高雄市前金區七賢二路178號,07-2863033,http://www.image-hotel.com.tw,107間,NT$6000-9000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
旗山三合院民宿,高雄市旗山區廣福里中興街6號,07-6614318,-,3間,NT$3600-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
菸城民宿,高雄市美濃區中華路7巷17號,07-6851110,-,2間,NT$2800-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
六合大旅社,高雄市新興區六合二路30號,07-2867161,-,74間,NT$3000-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
福容大飯店高雄,高雄市鹽埕區高雄市鹽埕區五福四路45號,07-5511188,http://www.fullon-hotels.com.tw/kh/,250間,NT$6000-10800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
儂來旅館,高雄市新興區林森一路267號3樓,07-2364747,-,26間,NT$800-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
同居,高雄市新興區文橫一路5巷28號,07-2410321,http://withinnhostel.com/,5間,NT$4200-5040(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
嵩大大飯店,高雄市三民區建東里南台路197號3-8樓,07-2883041,-,115間,NT$900-4980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
奇異果快捷旅店高雄九如店,高雄市三民區九如一路790號,07-9560604,-,60間,NT$5500-8500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
草地人民宿,高雄市六龜區新發里新開路33-1號,07-6791992,http://www.cdrsparesort.com.tw,2間,NT$6000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
高雄福華大飯店,高雄市新興區七賢一路311號,07-2362323,http://kaohsiung.howard-hotels.com.tw/,271間,NT$8800-20000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),5
六合大旅社二館,高雄市新興區六合二路28號1-5樓,07-2867161,http://www.sunnysidehotel.com.tw,16間,NT$6000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
塔木德酒店Classic-高雄愛河館,高雄市前金區大同二路23號,07-2013456,http://www.westbay888.com.tw/,146間,NT$7500-25000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
藏玉精品旅館,高雄市岡山區中山北路202號,07-6229999,http://www.royalsecretmotel.com.tw,28間,NT$7560-7560(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
馨悅旅館,高雄市前金區五福三路61號6樓之2,07-2012233,-,18間,NT$1200-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
康橋商旅-五甲店,"高雄市鳳山區福德街143巷20號4-9樓,22號1-3樓",07-8122840,-,72間,NT$4620-8580(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
捷絲旅高雄站前館,高雄市新興區中山一路280號,07-9733588,http://www.justsleep.com.tw,136間,NT$2680-16900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
帕鉑舍旅旅店,高雄市三民區重慶街1之2、1之3號1~8樓,07-3110869,http://papoa-hotel.com,30間,NT$6880-8880(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
雄旺237旅館,高雄市鹽埕區七賢三路229號1至3樓,07-5218237,https://www.facebook.com/Hotel237/,32間,NT$3500-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
康橋商旅-六合夜市七賢館,高雄市新興區同愛街28號1樓、30號,07-2885588,-,195間,NT$8556-12834(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
天藝商旅,高雄市前金區六合二路149號1樓147號3至11樓,07-2869008,https://www.skyonehoteltw.com/,215間,NT$1500-12000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
好地方大飯店三多館,高雄市苓雅區三多四路63號16樓之1,07-3320002,-,57間,NT$8000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
