旅宿名稱,地址,電話,官方網站,總房間數,定價,定價i,星級
隆德旅客之家,屏東縣恆春鎮中正路143號,08-8892701,-,20間,NT$300-3680(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),300,-
成功大旅社,屏東縣潮州鎮信義路66號,08-7883111,-,27間,NT$400-800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),400,-
東昇旅社,屏東縣枋寮鄉人和村中山路二段280號,08-8712308,-,13間,NT$400-500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),400,-
廣安旅社,屏東縣萬丹鄉廣安里萬丹路二段425號,0926-663993,-,8間,NT$400-400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),400,-
恆春老街文化旅社,屏東縣恆春鎮中山路41號,08-8869977,-,17間,NT$400-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),400,-
一品大旅社,屏東縣屏東市民生路179號,08-7228178,-,23間,NT$500-800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
富源旅社,屏東縣里港鄉春林村中山路22-1號,08-7752027,-,11間,NT$500-500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
清峰旅社,屏東縣內埔鄉水門村自力路125號,08-7993678,-,7間,NT$500-500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
建國旅社,屏東縣屏東市建國路107號,08-7531888,-,6間,NT$500-800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
高新旅社,屏東縣高樹鄉泰山村產業路94號(泰山國小對面),08-7956103,-,10間,NT$500-500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
小可民宿,屏東縣霧臺鄉霧台村神山巷14之1號,0920-832533,-,1間,NT$500-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
鳳宮大旅社,屏東縣潮州鎮平安路32之4、5、6號,08-7883335,http://www.fonggong-hotel.com.tw,20間,NT$700-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),700,-
縣城旅遊之家,屏東縣恆春鎮中正路152號,08-8892801,-,45間,NT$700-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),700,-
永慶大旅社,屏東縣潮州鎮光復路一段31號,08-7883338,-,19間,NT$700-700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),700,-
鐵馬騎跡,屏東縣東港鎮新學路50號,0952-848898,-,4間,NT$800-4680(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
洺泉旅社,屏東縣車城鄉溫泉村溫泉路玉泉巷2號,08-8821725,-,18間,NT$800-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
海庭民宿,屏東縣恆春鎮砂尾路21-3號,08-8867696,-,3間,NT$800-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
萬國旅社,屏東縣屏東市林森路68號,08-7322657,-,15間,NT$800-800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
代雀大旅社,屏東縣東港鎮朝安里博愛街140號,08-8322217,-,26間,NT$800-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
鑽石大旅社,屏東縣屏東市光復路112-1號,08-7324298,http://www.zuanshi.com.tw/,30間,NT$850-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),850,-
東星大飯店,屏東縣屏東市光復路18號,08-7347755,https://www.tong-hsin.com,48間,NT$880-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),880,-
南峰大旅社,屏東縣潮州鎮新榮里育英路56號,08-7883131,-,27間,NT$900-900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),900,-
墾丁假期渡假飯店,屏東縣恆春鎮恆公路966號11、12樓,08-8899999,-,70間,NT$999-12000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),999,-
拉瀑灣民宿,屏東縣霧臺鄉大武村東川巷48-1號,0976-292670,-,3間,NT$1000-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
祥源渡假民宿,屏東縣車城鄉中山路8-12號,08-8822886,-,4間,NT$1000-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
三好民宿,屏東縣恆春鎮城北里中正路232巷65號,0958-182179,-,7間,NT$1000-3900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
白龍宮旅館,屏東縣琉球鄉中福村三民路272號,08-8612536,-,15間,NT$1000-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
車城福安旅館,屏東縣車城鄉福興村中正路88號,08-8822499,-,12間,NT$1000-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
聯發山海民宿,屏東縣枋山鄉枋山村中山路4段39號,08-8715899,-,4間,NT$1000-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
隆安旅社,屏東縣枋山鄉楓港村舊庄路22-1號,08-8771367,http://lungan-hotel.com/rates.htm,25間,NT$1000-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
江南旅社,屏東縣枋寮鄉枋寮村中山路187號,08-8786195,-,6間,NT$1000-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
戶外人背包公寓民宿,屏東縣恆春鎮城北里20鄰環城北路187號,0987-878987,-,2間,NT$1000-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
大鵬灣大飯店,屏東縣東港鎮中山路59號,08-8353222,http://www.tpb.com.tw,44間,NT$1200-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
崁頂家,屏東縣崁頂鄉田寮路7之6號,0935-594349,-,4間,NT$1200-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
勝友大旅社,屏東縣東港鎮中正路56號,08-8322119,-,19間,NT$1200-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
華園休閒渡假園地民宿,屏東縣牡丹鄉大梅路1-7號,08-8824208,-,3間,NT$1200-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
台輪時尚旅店,屏東縣屏東市民族路159-1號,08-7322108,-,30間,NT$1200-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
麗園民宿,屏東縣東港鎮大東路331巷19號,09-33019476,https://www.booking.com/hotel/tw/dong-gang-li-yuan-min-su.zh-tw.html?aid=376396;label=booking-name-kdA%2A%2AQvoj_QoLR%2AzTmL6tAS61568341216%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap1t1%3Aneg%3Afi%3Atikwd-65526620%3Alp9040322%3Ali%3Adec%3Adm;sid=1f776e58c987680060256a,3間,NT$1200-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
大利安,屏東縣三地門鄉中正路二段31巷1之4號,0920-090285,-,4間,NT$1200-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
綠洲大旅社,屏東縣屏東市仁愛路9-1號,08-7325176,-,23間,NT$1200-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
屏山旅社,屏東縣內埔鄉水門村中山路339號,08-7991803,-,6間,NT$1200-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
春風民宿,屏東縣恆春鎮東門路50號,08-8896276,-,3間,NT$1200-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
三地門民宿,屏東縣三地門鄉三地村中正路一段56號,08-7994886,-,5間,NT$1200-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
梅竹民宿,屏東縣車城鄉中正路6-1號,08-8824665,-,2間,NT$1200-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
花洛米NO.35,屏東縣恆春鎮省北路35號,0975-166108,-,3間,NT$1200-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
清桃源民宿,屏東縣恆春鎮恆公路75號,08-8895329,-,5間,NT$1200-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
得恩典旅宿,屏東縣潮州鎮八爺里自由路81號,08-7883110,-,3間,NT$1200-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
德旅店民宿,屏東縣竹田鄉豐明路22號,0975-502083,-,3間,NT$1260-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1260,-
默默小院民宿,屏東縣恆春鎮恆南路64巷29號,0926-212362,-,2間,NT$1280-5440(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1280,-
木本六商務汽車旅館,屏東縣屏東市大連路33號,08-7370677,-,35間,NT$1300-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
樺園汽車旅館,屏東縣內埔鄉東寧村自強路150號,08-7789321,-,23間,NT$1380-1380(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1380,-
賢濱山莊特色民宿,屏東縣琉球鄉三民路206-1號,08-8611230,-,15間,NT$1400-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
大鵬灣灣民宿,屏東縣林邊鄉光前路111之2號,08-8352720,-,2間,NT$1450-1680(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1450,-
淵興旅社,屏東縣車城鄉福興村中山路16號,08-8821069,-,11間,NT$1500-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
清泉日式溫泉館,屏東縣車城鄉溫泉村文化路5號,08-8824120,-,42間,NT$1500-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
紫心樓,屏東縣泰武鄉老潭巷7號,08-7920377,-,4間,NT$1500-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
苣同民宿,屏東縣恆春鎮南灣路466號,08-8880849,-,4間,NT$1500-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
古皮公寓輕工業民宿,屏東縣恆春鎮南灣路和平巷56號,0909-566060,https://uukt.com.tw/kenting/60,4間,NT$1500-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
墾丁香蒲民宿,屏東縣車城鄉海口村9鄰尖山路38號,0939-595807,-,2間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
圓夢民宿,屏東縣恆春鎮恆公路208巷15弄36號,08-8880476,-,3間,NT$1500-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
萬春民宿,屏東縣車城鄉溫泉路227號,08-8825328,-,5間,NT$1500-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
牧羊人民宿,屏東縣恆春鎮德和路415巷25號,08-8892653,-,5間,NT$1500-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
Home在恆春民宿,屏東縣恆春鎮恆南路77巷7弄2號,0939-234380,-,5間,NT$1500-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
戀海126風情旅棧民宿,屏東縣恆春鎮大灣路126號,08-8861877,http://www.lovesea126house.com,1間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
和風庭民宿,屏東縣恆春鎮恆公路1026巷50號,08-8881616,-,5間,NT$1500-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
藍洞民宿,屏東縣恆春鎮恆南路125巷16號,0966-716651,-,3間,NT$1500-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
最美的街角民宿,屏東縣瑪家鄉瑪家村8鄰瑪卡札亞街24巷1號,0915-363011,-,2間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
藍趴旅店,屏東縣恆春鎮南灣里15鄰南灣路和平巷28號,0982-978597,-,2間,NT$1500-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
柯家民宿,屏東縣霧臺鄉霧台村中山巷76之1號,0925-336381,-,3間,NT$1500-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
本六木旅館,屏東縣屏東市建華三街1號1-3樓,08-7561133,-,33間,NT$1580-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1580,-
格尚庭園汽車旅館,屏東縣屏東市大豐路88號,08-7553840,https://www.goshinemotel.com.tw/,20間,NT$1580-1580(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1580,-
旅攝民宿,屏東縣恆春鎮省北路40巷109弄8之1號,0917-185837,-,3間,NT$1588-2688(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1588,-
夏豔休閒民宿,屏東縣恆春鎮恆南路117巷52號,0983-525382,-,5間,NT$1600-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
我家民宿,屏東縣牡丹鄉旭海路55號,08-8830616,-,5間,NT$1600-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
希望民宿,屏東縣恆春鎮槺林南路56巷35弄1號,0928-696826,-,5間,NT$1600-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
海洋風情渡假旅館,屏東縣琉球鄉本福村民生路73之1號,08-8612617,http://www.my-ocean.com.tw,8間,NT$1600-2700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
貝殼沙民宿,屏東縣琉球鄉三民路221-2號,08-8613050,-,5間,NT$1600-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
海豚城堡,"屏東縣東港鎮新義路38,40號",0980-180471,-,2間,NT$1600-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
22旅店民宿,屏東縣東港鎮大成路22巷22號,0958-935355,-,4間,NT$1600-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
田園民宿,屏東縣車城鄉溫泉路355號,08-8821488,-,5間,NT$1600-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
旅行的家,屏東縣恆春鎮中正路232巷182弄15號,0925-050576,-,4間,NT$1600-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
蘇馬利萬巒民宿,屏東縣萬巒鄉南進路24-1號,08-7812861,https://www.facebook.com/sumari.hostel,5間,NT$1600-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
巴黎民宿,屏東縣霧臺鄉霧台村1鄰神山巷19之1號,0933-378552,-,5間,NT$1600-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
田老大潛水海景民宿,屏東縣琉球鄉中正路174號,0900-750136,-,3間,NT$1600-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
夢汽車旅館,屏東縣內埔鄉內田村永光路7號,08-7781628,-,28間,NT$1680-2450(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1680,-
樂見民宿,屏東縣恆春鎮省北路1巷2弄9號,0985-599555,-,4間,NT$1680-3680(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1680,-
玉大曆汽車旅館,屏東縣東港鎮興東路501號1-2樓,08-8334001,http://www.yudali.tw,42間,NT$1680-4180(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1680,-
東之港汽車旅館,屏東縣東港鎮船頭里水源二街139號,08-8352229,-,33間,NT$1680-1880(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1680,-
飛馬大飯店,屏東縣屏東市光復路60號,08-7326111,-,41間,NT$1680-1960(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1680,-
力恩民宿,屏東縣霧臺鄉霧台村神山巷26號,0905-562573,-,3間,NT$1700-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1700,-
屏東の家,屏東縣內埔鄉信義路626巷40號,0922-045737,-,3間,NT$1800-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
進成旅社,屏東縣屏東市民族路42巷25號,08-7322939,-,28間,NT$1800-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
墾丁灰面鷲民宿,屏東縣恆春鎮龍泉路198巷15號,08-8899396,-,4間,NT$1800-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
景福旅社,屏東縣車城鄉溫泉村溫泉路玉泉巷8號,08-8821310,-,21間,NT$1800-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
拉芙樂兒旅宿,屏東縣恆春鎮湖內路422號,08-8880542,-,5間,NT$1800-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
Ola南灣,屏東縣恆春鎮南灣路和平巷26號,0973-160027,-,3間,NT$1800-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
興旺的家,屏東縣恆春鎮湖內路3巷4弄1號,0952-077102,-,2間,NT$1800-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
檸檬樹民宿,屏東縣恆春鎮南灣路鞍山巷2弄6號,08-8883768,-,5間,NT$1800-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
新溫泉渡假旅館,屏東縣車城鄉文化路1-10號,08-8821597,-,21間,NT$1800-2300(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
沐睦民宿,屏東縣恆春鎮光明路110號,09-75260908,-,5間,NT$1800-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
你知道的,屏東縣恆春鎮恆北路75巷6號,0902-118165,-,4間,NT$1800-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
南風民宿,屏東縣牡丹鄉大梅路68號之2,08-8825665,-,4間,NT$1800-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
思慕思慕民宿,屏東縣東港鎮興安二街87號,0931-288475,-,2間,NT$1800-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
陳媽媽,屏東縣琉球鄉信義路2號,08-8613228,-,4間,NT$1800-6500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
枋寮民宿背包旅店,屏東縣枋寮鄉中興路4巷20號,0900-799566,-,4間,NT$1800-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
郭大姊民宿,屏東縣新園鄉鹽埔村20鄰塩龍路113號,08-8323517,-,3間,NT$1800-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
海牛民宿,屏東縣恆春鎮南灣路林森巷39-2號,0935-260988,-,5間,NT$1800-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
在路上民宿,屏東縣東港鎮興安三街56號,0976-466557,-,4間,NT$1800-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
沐恩芳民宿,屏東縣泰武鄉武潭村7鄰老潭巷29號,0919-931403,-,2間,NT$1800-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
海方苑民宿,屏東縣恆春鎮墾丁里墾丁路120之2號,0932-859956,-,7間,NT$1800-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
古仁人民宿,屏東縣霧臺鄉大武村小山巷9號,0933-939312,-,5間,NT$1800-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
哈瑪札武民宿,屏東縣瑪家鄉瑪家村瑪卡札亞街20巷1號,0933-621632,-,3間,NT$1800-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
苗甫民宿,屏東縣琉球鄉中華路4-14號,08-8613392,-,2間,NT$1900-1900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1900,-
沐．輕旅民宿,屏東縣恆春鎮墾丁里墾丁路和平巷61-1號,0909-715554,-,5間,NT$1900-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1900,-
皇星汽車旅館,屏東縣屏東市民生東路59-1號,08-7233123,-,47間,NT$1950-2780(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1950,-
86民宿,屏東縣潮州鎮三共里34鄰重義巷86號,0956-590138,-,3間,NT$1960-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1960,-
歐閣汽車旅館,屏東縣九如鄉九明里忠孝街111號1-2樓,08-7395898,-,24間,NT$1960-1960(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1960,-
日安摩墅,屏東縣恆春鎮德和路38之1號,0921-210575,-,6間,NT$1980-2880(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1980,-
薇米文旅,屏東縣屏東市復興路25號9樓之1至之32、10樓之1至之32,08-7343456,-,62間,NT$1988-10600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1988,-
白居易旅店,屏東縣恆春鎮北門路110巷15號,0925-360196,-,3間,NT$2000-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
遇見嵐湾,屏東縣恆春鎮南灣路和平巷80號,0989-775005,-,4間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
迷路小章魚小旅館,屏東縣恆春鎮南灣路60號,08-8881335,-,4間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
芬享之家民宿,屏東縣恆春鎮恆東路58號,08-8898269,-,4間,NT$2000-5800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
南灣PS民宿,屏東縣恆春鎮南灣路信義巷4弄1號,0963-391221,-,4間,NT$2000-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
森山雅築民宿,屏東縣恆春鎮恆南路9號,08-8891161,-,5間,NT$2000-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
大石頭渡假山莊民宿,屏東縣牡丹鄉高士路29-1號,08-8895332,-,4間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
大峰民宿,屏東縣琉球鄉三民路288-3號,08-8614588,-,5間,NT$2000-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
