旅宿名稱,地址,電話,官方網站,總房間數,定價,定價i,星級
台北艾麗酒店,臺北市信義區松高路18號,02-66318000,http://humblehousehotels.com/,235間,NT$0-19000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),0,-
慕誠行旅,臺北市信義區基隆路二段48號1樓至3樓,02-27252168,-,33間,NT$100-50000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),100,-
卡夫人背包客棧,臺北市中正區館前路34號7樓,02-23881666,https://www.cavemen.com.tw/,14間,NT$300-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),300,-
天使青旅,臺北市中正區衡陽路51號2樓之2,02-23131319,-,8間,NT$399-1320(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),399,-
愛玩客旅店,臺北市萬華區西寧南路30號12樓,02-23316008,-,1間,NT$500-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
福來旅社,臺北市大同區南京西路344巷13號1-4樓,02-2555085725550427,-,37間,NT$500-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
台北北門窩泊旅,臺北市大同區太原路92巷2之1、2之2、2之3、2之4號(1樓至4樓),02-25525068,http://www.wowposhtel.com,19間,NT$540-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),540,-
西門希爾商旅,臺北市萬華區峨眉街28號4樓之1、4樓之2、4樓之3,02-23810081,https://hotelshere.com.tw,15間,NT$600-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
五月家青旅北車館,臺北市中正區忠孝西路一段122號6樓,02-23822929,https://mayrooms.info/main-station/,5間,NT$600-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
獅城旅館,臺北市大同區華陰街179號3-5樓,02-25591231,-,67間,NT$600-2480(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
大安公園旅店,臺北市中正區信義路2段271號8樓,02-23965222,https://www.daanparkhotel.com,13間,NT$600-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
東門3號膠囊旅店,臺北市大安區信義路2段110號,02-23583299,https://book-directonline.com/properties/dongmen3capsuleinndirect?checkInDate=2021-03-05&checkOutDate=2021-03-06&locale=zh-TW&currency=TWD&items[0][adults]=2&items[0][children]=0&items[0][infants]=0,4間,NT$600-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
龍蝦先生的秘密巢穴,臺北市大同區重慶北路一段22號9樓,02-25558752,-,33間,NT$640-4400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),640,-
東門大旅社,臺北市中正區臨沂街78號2-4樓,02-23560210,https://www.facebook.com/dongmenhotel,26間,NT$650-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),650,-
拉開門輕旅,臺北市中正區紹興北街8號4樓之1至4樓之3,02-33223599,-,6間,NT$700-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),700,-
