旅宿名稱,地址,電話,官方網站,總房間數,定價,定價i,星級
北海賓館,臺南市北區大興街325巷33號5樓,06-2589922,-,12間,NT$300-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),300,-
富國旅社,臺南市白河區新生路15號,06-6852035,-,6間,NT$300-700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),300,-
玉光大旅社,臺南市中西區慈聖街73號2-3樓,06-2283096,-,12間,NT$300-500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),300,-
儷都大飯店,"臺南市北區忠義路三段18號1,3-8樓",06-2227966,-,54間,NT$380-12000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),380,-
龍門大旅社,臺南市官田區隆田里裕民街9號,06-5791906,-,14間,NT$400-500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),400,-
圓環大旅社,臺南市新營區中山路153-2號,06-6331111,-,33間,NT$400-700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),400,-
樂都大旅社,臺南市中西區永福路二段152巷26號1-3樓,06-2226119,-,24間,NT$400-400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),400,-
金凰城大旅社,臺南市中西區慈聖街71-1號2樓,06-2759977,-,7間,NT$400-400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),400,-
湘源大旅社,臺南市官田區隆田里新生街126號,06-5792147,-,8間,NT$500-600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
嘉南大旅社,臺南市新營區台南市新營區中山路34-2號,06-6321077,-,45間,NT$500-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
新都旅社,"臺南市西港區西港里中山路210,212號",06-7952298,-,6間,NT$500-700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
志明旅社,臺南市鹽水區中正路118號,06-6521031,-,4間,NT$500-500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
清海旅社,臺南市北區成功路240號1-3樓,06-2221480,-,8間,NT$500-600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
大林旅社,臺南市仁德區大同路三段587號,06-2906197,-,4間,NT$500-500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
六甲旅社,臺南市六甲區文化街61巷15號,06-6983215,-,11間,NT$600-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
嘉鴻大旅社,臺南市學甲區宮西路10號,06-7832131,-,30間,NT$600-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
