旅宿名稱,地址,電話,官方網站,總房間數,定價,定價i,星級
竹南旅社,苗栗縣竹南鎮光復路18號,037-472435,-,18間,NT$400-500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),400,-
銀座大旅社,苗栗縣通霄鎮光復路65號,037-752114,-,11間,NT$500-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
福星大旅社,苗栗縣苗栗市中山路236號,037-321372,-,15間,NT$600-600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
華王大旅社,苗栗縣苗栗市中山路3號,037-265969,-,21間,NT$600-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
晴園民宿,苗栗縣南庄鄉南富村22鄰四灣76號,0911-310385,-,2間,NT$600-600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
梅芬大旅社,苗栗縣後龍鎮勝利街250-14號,037-722119,-,22間,NT$600-800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
台灣新旅社,苗栗縣竹南鎮中山路28號1-2樓,037-473636,-,12間,NT$600-600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
高賓旅社,苗栗縣苗栗市中正路116號,037-260268,-,13間,NT$700-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),700,-
國賓大旅社,苗栗縣通霄鎮中正路105號,037-752176,-,10間,NT$700-900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),700,-
新興旅社,苗栗縣苗栗市建國街3號,037-260133,-,15間,NT$700-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),700,-
中興旅社,苗栗縣銅鑼鄉銅鑼里新興路4號,037-981429,-,9間,NT$700-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),700,-
南苗大旅社,苗栗縣苗栗市中正路898號,037-321961-2,-,26間,NT$800-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
丸松大旅社,苗栗縣苗栗市中山路658號,037-320283,-,28間,NT$800-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
佳來大旅社,苗栗縣頭份市和平路92號,037-663188,-,11間,NT$800-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
國泰大旅社,苗栗縣苑裡鎮中山路182號,037-861058,-,15間,NT$800-800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
新光明大旅社,苗栗縣竹南鎮博愛街48號,037-472267,-,12間,NT$800-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
ㄠ嶩民宿,苗栗縣泰安鄉梅園村2鄰梅園23號,037-962128,-,4間,NT$900-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),900,-
金龍大旅社,苗栗縣後龍鎮北龍里中山街88-11號,037-722315,-,12間,NT$1000-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
吉娃斯,苗栗縣泰安鄉錦水村9鄰橫龍山44號,037-941204,-,5間,NT$1000-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
九龍大飯店,苗栗縣竹南鎮中山路136號,037-474111-2,-,18間,NT$1000-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
如意園,苗栗縣通霄鎮福興里4鄰33-9號,037-783665,-,3間,NT$1000-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
泰莉莎旅店,苗栗縣頭份市中華路1091號4樓之1,037-673757,-,26間,NT$1100-1700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1100,-
綠庭商務旅館,苗栗縣苗栗市中正路462號5樓,037-358789,-,12間,NT$1200-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
天花湖民宿,苗栗縣頭屋鄉飛鳳村3鄰飛鳳40-1號,037-253571,-,3間,NT$1200-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
荷塘居,苗栗縣公館鄉館南村13鄰館南332號,037-233456,-,2間,NT$1200-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
來來大旅社,苗栗縣苗栗市為公路559-1號,037-265991,-,10間,NT$1200-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
頭緣汽車旅館,苗栗縣頭份市工業路25號,037-621115,-,31間,NT$1300-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
般若民宿,苗栗縣泰安鄉錦山村5鄰圓墩16-2號,037-941320,-,4間,NT$1300-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
霖園民宿,苗栗縣獅潭鄉永興村3鄰永興16-6號,037-932716,-,3間,NT$1400-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
里京館,苗栗縣南庄鄉南江村9鄰里金館33號,037-825185,-,2間,NT$1500-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
長青谷,苗栗縣卓蘭鎮上新里15鄰食水坑78號,04-25893329,-,2間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
福美青鳥山莊,苗栗縣南庄鄉獅山村1鄰田美15-1號,037-822481,-,3間,NT$1500-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
峯州小木屋,苗栗縣三義鄉龍騰村13鄰龍騰6-7號,037-876921,http://www.e-motel.com.tw,1間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
田媽媽民宿,苗栗縣三義鄉廣盛村4鄰廣盛60之1號,037-875656,-,3間,NT$1500-1900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
南莊民宿小哥的家,苗栗縣南庄鄉南江村10鄰石坑3-2號,037-824760,-,5間,NT$1500-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
泰安民宿,苗栗縣泰安鄉錦水村10鄰橫龍山59之1號,0960-971387,-,5間,NT$1500-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
山明民宿,苗栗縣三義鄉廣盛村6鄰復興路52-1號,037-872361,http://www.e-motel.com.tw,2間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
馬力十族民宿,苗栗縣泰安鄉錦水村12鄰圓墩92號,037-941110,-,4間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
神棹仙境民宿,苗栗縣三灣鄉大河村2鄰神棹山20號,0932-668582,-,5間,NT$1500-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
泉銘行館,苗栗縣大湖鄉富興村7鄰八寮灣33之31號,037-990959,-,5間,NT$1600-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
三義幸福小築館前民宿,苗栗縣三義鄉廣盛村39鄰八股路館前2巷1-2號,0931-602121,-,2間,NT$1600-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
圓夢築,苗栗縣三義鄉廣盛村41鄰八股館前9巷1-5號,0934-313189,-,2間,NT$1600-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
象鼻休閒山莊,苗栗縣泰安鄉象鼻村1鄰象鼻9之3號,037-962526,-,3間,NT$1600-2600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
怡和田民宿,苗栗縣卓蘭鎮西坪里7鄰西坪89-1號,04-25891085,-,4間,NT$1600-2300(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
史迪奈民宿,苗栗縣三義鄉鯉魚潭村4鄰鯉魚口77-1號,037-881201,http://www.stay-the-night.tw,4間,NT$1600-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
薇萱小築,苗栗縣三義鄉廣盛村41鄰八股館前9巷1-11號,0986-246685,-,2間,NT$1600-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
好自在民宿,苗栗縣泰安鄉大興村4鄰57號,037-993501,-,4間,NT$1600-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
愛伊堡汽車旅館,苗栗縣頭份市興隆路一段176號,037-691166,https://site-176.mystrikingly.com/,26間,NT$1780-1980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1780,-
碧絡角民宿,苗栗縣南庄鄉東河村12鄰橫屏背25號,037-825605,-,3間,NT$1800-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
安禾居民宿,苗栗縣苗栗市嘉盛里26鄰為公路686巷1號,0919-045679,-,3間,NT$1800-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
芝柏山汽車旅舘,苗栗縣竹南鎮四維街90號,037-625789,http://www.cpmmotel.com,39間,NT$1980-2580(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1980,3
栗華飯店,"苗栗縣苗栗市中華路83,85號",037-270456,http://www.lilyplaza.com.tw,83間,NT$2000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
安碩民宿,苗栗縣造橋鄉大西村8鄰尖豐路186巷1弄66號,037-682991,-,2間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
欣園民宿,苗栗縣通霄鎮內島里2鄰內島16-7號,037-793553,-,3間,NT$2000-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
栗田庄,苗栗縣南庄鄉南江村14鄰小東河17-2號,037-824978,-,5間,NT$2000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
