旅宿名稱,地址,電話,官方網站,總房間數,定價,定價i,星級
幸福樹舍背包客棧民宿,金門縣金寧鄉環島北路二段613號,0928-700031,http://happytree211.pixnet.net/,4間,NT$500-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
得月觀止,金門縣金寧鄉古寧村南山12號,0978-095137,-,2間,NT$600-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
夏興客棧,金門縣金湖鎮正義里夏興27號,082-330575,-,5間,NT$700-700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),700,-
老柚木民宿,金門縣金寧鄉前厝46號之1,0973-808925,http://www.home-teak-residence.com,5間,NT$800-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
塔后民宿,金門縣金湖鎮新湖里環島南路塔后段1巷1號,082-332891,-,4間,NT$800-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
TARO民宿,金門縣金寧鄉下埔下80號,082-372377,-,4間,NT$800-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
988古厝民宿,金門縣金城鎮賢庵里吳厝26號,082-324778,-,5間,NT$988-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),988,-
藍蓮花海景民宿,金門縣金寧鄉湖埔村下埔下329號,082-316288,-,5間,NT$1000-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
模範の家,金門縣金城鎮菜市場45號,082-371581,http://kinmen-model.webnode.tw/,3間,NT$1000-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
三鼎民宿,金門縣烈嶼鄉上岐村青岐17-3號,0920-750628,https://www.facebook.com/%E7%83%88%E5%B6%BC%E9%84%89%E4%B8%89%E9%BC%8E%E6%B0%91%E5%AE%BF-%E9%98%BF%E5%AC%A4%E7%9A%84%E5%AE%B6-2198563283707622,5間,NT$1000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
尊爵民宿,金門縣金湖鎮新湖里塔后47-8號,082-332477,https://www.allen319.url.tw,5間,NT$1000-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
湖峰古厝民宿,金門縣金寧鄉湖埔村湖下75號,0910-117580,-,5間,NT$1000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
市區背包客棧民宿,金門縣金城鎮珠浦西路6巷4弄3號,0919-644032,https://www.facebook.com/%E5%B8%82%E5%8D%80%E8%83%8C%E5%8C%85%E5%AE%A2%E6%A3%A7%E6%B0%91%E5%AE%BF-428084790946564,5間,NT$1000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
浯陽小學校,金門縣金沙鎮光前村3鄰陽翟村32號,082-351382,-,3間,NT$1000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
圓嘟嘟,金門縣金寧鄉湖下220之29號,0905-508655,-,5間,NT$1088-2388(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1088,-
大橋旁民宿,金門縣金寧鄉湖埔村湖下10-2號,0988-811603,-,2間,NT$1100-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1100,-
瓦櫃,金門縣金寧鄉盤山村23鄰大學路2巷10號,09-19373963,https://wagui-bed-and-breakfast.business.site/?utm_source=gmb&utm_medium=referral,4間,NT$1200-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
落番居,金門縣金城鎮珠山28號,0961-324786,http://luofunjyublog.wordpress.com,5間,NT$1200-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
咪兒民宿,金門縣烈嶼鄉青岐1之6號,082-363231,http://kinmenmir.blogspot.tw/,5間,NT$1200-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
大慶民宿,金門縣金寧鄉后盤村4鄰環島北路二段598號,082-322232,-,5間,NT$1200-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
法蘭克民宿,金門縣金城鎮民權路122巷3-3號,0966-585908,-,5間,NT$1200-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
成功民宿,金門縣金湖鎮正義里成功123-2號,082-333996,http://www.facebook.com/kmbedandbreakfast,5間,NT$1200-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
金帝大飯店,金門縣金城鎮民權路107號,082-323366,-,28間,NT$1200-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
金麗麗大飯店,金門縣金寧鄉慈湖路1段107號,082-323151,-,30間,NT$1200-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
上賓飯店,金門縣金城鎮民權路33號,082-321528-9,-,26間,NT$1200-1700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
中蘭民宿,金門縣金沙鎮何斗里中蘭22號,082-327650,-,4間,NT$1200-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
湖下海景渡假民宿,金門縣金寧鄉湖下223之1號,0919-498005,-,5間,NT$1200-1960(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
頂林路民宿,金門縣金寧鄉安美村安岐62-1號,0911-229796,-,4間,NT$1200-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
達登小住,金門縣金城鎮吳厝7號,0933-802823,-,4間,NT$1200-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
愛渡假,金門縣金寧鄉埔邊103號,0905-293369,-,5間,NT$1200-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
八八古藝二館民宿,金門縣金寧鄉下堡46號,082-355340,-,3間,NT$1200-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
上善若水民宿,金門縣金城鎮前水頭97號,082-327995,-,4間,NT$1200-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
古韻民宿,金門縣金城鎮前水頭112號,082-328373,-,5間,NT$1200-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
田鄰綠,金門縣金沙鎮浦邊151號,0933-134381,-,5間,NT$1200-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
秋水,金門縣金寧鄉埔後4-6號,082-323607,-,5間,NT$1200-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
花和蜜蜂民宿,金門縣金湖鎮料羅127號,0926-193808,-,2間,NT$1200-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
樂客3館,金門縣金城鎮賢聚51-5號,0935-078318,-,5間,NT$1200-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
和風夏墅,金門縣金城鎮西海路三段106巷5弄3號,0932-970386,-,5間,NT$1200-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
吉甲民宿,金門縣金城鎮山前38號,082-320087,-,4間,NT$1200-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
品茗居,金門縣金寧鄉盤山村頂堡71號,082-326249,-,4間,NT$1280-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1280,-
碧山老房子,金門縣金沙鎮碧山18號,0921-560414,http://blog.xuite.net/cheng351024/kinmenhomestay,4間,NT$1288-2288(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1288,-
北山13號民宿,金門縣金寧鄉古寧村北山13號,082-311382,-,5間,NT$1300-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
和平28號民宿,金門縣金城鎮和平新村28號,0982-638969,-,5間,NT$1300-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
華欣商務飯店,金門縣金城鎮西門里莒光路156-2號,082-312128,-,20間,NT$1380-2480(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1380,-
愛丁堡五十六,金門縣金寧鄉盤山村下堡56號,082-372010,-,3間,NT$1380-2680(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1380,-
幸福莊園,金門縣金城鎮西海路三段39巷6弄30號,0967-214134,-,5間,NT$1400-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
尚品源民宿,金門縣烈嶼鄉上林村南塘1之7號,082-364699,-,5間,NT$1400-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
忘了飛,金門縣金沙鎮山后84號,082-352058,http://www.visit-kinmen.com,4間,NT$1400-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
水頭33號民宿,金門縣金城鎮前水頭33號,0919-138291,-,4間,NT$1400-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
金城艾美商務旅館,金門縣金城鎮莒光路164號,082-373998,-,17間,NT$1400-3380(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
1933民宿,金門縣金城鎮金門城148號,0958-723155,-,5間,NT$1400-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
背包客棧497,金門縣金湖鎮塔后497號,0905-134369,http://backpackhome497.business.site,5間,NT$1400-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
渭川田家民宿,金門縣金寧鄉盤山村下堡87號,082-371395,-,4間,NT$1400-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
鳳毛麟趾二館,金門縣金城鎮前水頭64號,0928-812317,http://www.facebook.com/63minnall.cuo,5間,NT$1400-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
明園民宿,金門縣金湖鎮新湖里太湖路三段15號,082-331645,-,5間,NT$1400-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
來福二館,金門縣金城鎮歐厝25號,0974-195924,-,2間,NT$1400-2700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
甘鹿園,金門縣金寧鄉榜林村25鄰下后垵69號,0936-457155,-,5間,NT$1400-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
麒麟雅筑,金門縣金寧鄉盤山村下堡55號,0910-976798,-,4間,NT$1480-2600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1480,-
夏之戀,金門縣金寧鄉安岐359號,0966-538577,-,5間,NT$1500-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
明遺古街故事館,金門縣金城鎮金門城130號,082-320303,-,4間,NT$1500-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
金典民宿,金門縣烈嶼鄉西路35之6號,0937-397950,https://jindianminsu.weebly.com/25151224112017132057guest-rooms.html,14間,NT$1500-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
優豆民宿,金門縣金寧鄉安美村安岐37之2號,082-323127,-,5間,NT$1500-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
嘉豐閩築,金門縣烈嶼鄉林湖里西路18號,082-362542,-,5間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
金門好朋友,金門縣金城鎮珠沙里泗湖27-2號,0978-020878,-,5間,NT$1500-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
YUMI旅店,金門縣金寧鄉南山6-3號,0985-604489,https://yumi-hotel.business.site/?m=true,4間,NT$1500-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
泰上皇,金門縣金湖鎮瓊林73-2號,0912-560965,-,3間,NT$1500-2600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
三坵民宿,金門縣金城鎮環島北路一段57號,0928-810486,-,5間,NT$1500-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
貓公石海景民宿,金門縣烈嶼鄉黃埔村埔頭24之2號,0988-867253,-,5間,NT$1500-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
阿鑫民宿,金門縣金寧鄉湖埔村埔後77號,0937-606001,-,5間,NT$1500-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
玖號民宿,金門縣金城鎮民權路184巷2弄9號,082-320327,-,3間,NT$1500-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
戴家民宿,金門縣金城鎮小西門65-1號,0982-638969,-,4間,NT$1500-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
聖民民宿,金門縣金寧鄉盤山村下堡245號,0921-791181,-,4間,NT$1500-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
