旅宿名稱,地址,電話,官方網站,總房間數,定價,定價i,星級
建成旅社,南投縣水里鄉新城村民權路476號,049-2770651,-,7間,NT$250-600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),250,-
春風民宿,南投縣集集鎮田寮里龍泉巷19-19號,049-2781392,-,4間,NT$300-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),300,-
經濟旅社,南投縣水里鄉城中村市場街57號,049-2770031,-,8間,NT$400-600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),400,-
振興旅社,南投縣竹山鎮雲林里橫街89號,049-2642113,-,24間,NT$400-700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),400,-
永樂園旅社,南投縣埔里鎮西安路一段83號,049-2900102,-,13間,NT$400-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),400,-
金都大旅社,南投縣竹山鎮中山里竹山路150號,049-2642143,-,11間,NT$400-850(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),400,-
和雅渡假園區,南投縣鹿谷鄉和雅村愛鄉路66-15號,0952-961868,-,5間,NT$550-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),550,-
綠色的日子,南投縣南投市營北里仁義南路63號,049-2370008,-,2間,NT$600-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
阿生旅社,南投縣竹山鎮中山里橫街8-3號,049-2642271,-,10間,NT$600-600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
南僑旅社,南投縣南投市中興路392-5號,049-2234318,-,8間,NT$600-900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
鴻賓大旅社,南投縣水里鄉農富村民生路332號,049-2772110,-,15間,NT$600-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
有張床國際青年背包棧,南投縣魚池鄉日月村中正路223.225號,049-2850558,http://www.perbedhostel.com,1間,NT$799-799(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),799,-
海隆大旅社,"南投縣南投市三和二路二街36,38,40號",049-2223316,-,30間,NT$800-800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
車埕民宿,南投縣水里鄉車埕村民權巷17號,0932-551736,-,2間,NT$800-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
德億茶莊民宿,南投縣鹿谷鄉鳳凰村鳳園路13號,049-2752193,-,5間,NT$800-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
湖濱小棧民宿,南投縣埔里鎮蜈蚣里鯉魚二巷18號,0917-679786,-,3間,NT$900-900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),900,-
環泰大旅社,南投縣水里鄉農富村民權路163號,049-2772137,-,25間,NT$1000-2100(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
集集八張民宿,南投縣集集鎮八張里民生路13-1號,049-2764082,-,5間,NT$1000-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
林尾虹橋民宿,南投縣集集鎮林尾里林尾路542號,049-2762346,-,3間,NT$1000-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
林園山莊民宿,南投縣鹿谷鄉竹林村愛鄉路101-3號,049-2676958,-,5間,NT$1000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
東海旅社,南投縣水里鄉農富村民權路135號,049-2770212,-,12間,NT$1000-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
亞洲大旅社,南投縣水里鄉新城村民權路292號,049-2772151,-,27間,NT$1000-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
雲饌休閒民宿,南投縣鹿谷鄉廣興村興產路87-10號2樓,049-2750041,-,2間,NT$1000-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
