旅宿民稱,地址,電話,官方網站,總房間數,定價,星級
嘉楠風華酒店,嘉義市西區福安里四維路232號,05-2330000,-,144間,NT$3080-9200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
德爾芙快捷酒店,嘉義市西區仁愛路361號5-10樓,05-2161899,-,96間,NT$4800-9000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
嘉冠大飯店,嘉義市西區西門街238-2號1-7樓,05-2236311,https://www.booking.com/hotel/tw/hotelcrown.zh-tw.html,60間,NT$1400-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
金龍海悅大飯店,嘉義市西區民生北路130號,05-2236388,-,72間,NT$2600-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
五柳園民宿,嘉義市東區盧厝里盧厝44-13號,05-2718500,https://www.wuliufarm.com,6間,NT$4800-15000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
里亞行旅,嘉義市西區書院里永和街100號B1至7層樓,05-2275579,http://www.liyaou.com,107間,NT$8800-24500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
真珠大飯店,嘉義市西區中央第二商場46號,05-2274546,-,16間,NT$500-500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
新悦花園酒店,嘉義市東區後湖里6鄰保順路69號,05-2778666,http://www.hsinhotel.com.tw/,175間,NT$7200-16800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
榮宮大飯店,嘉義市西區西門街77號,05-2228556,-,20間,NT$400-400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
比佛利花園汽車旅館,嘉義市西區青年街77號1-2樓,05-2836666,-,29間,NT$1680-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
王子去旅行,嘉義市西區西門街101號1-6樓,05-2234438,-,28間,NT$4800-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
永興大旅社,嘉義市西區中正路710號,05-2278246,-,25間,NT$1200-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
順億商務旅館,嘉義市西區嘉義市西區中山路617號10樓,05-2166655,-,40間,NT$2200-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
義興旅館,嘉義市西區中正路730號,05-2279344,http://yeshotel1.pixnet.net/blog/post/6989938,23間,NT$700-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
常春藤汽車旅館,嘉義市西區四維路313號,05-2335555,-,28間,NT$1350-1980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
洄嘉居行旅,"嘉義市西區興業西路121,123號3-7樓",05-2835001,-,72間,NT$2100-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
欣華旅社,嘉義市西區興達路426號,05-2330607,-,31間,NT$2500-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
嘉豪嘉義行藝文旅,嘉義市西區仁愛路345號,05-2283399,http://www.travelartinn.com.tw,34間,NT$3280-6080(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
嘉義優遊商旅大飯店,嘉義市西區中山路617號11-14樓,05-2281818,http://www.yoyohotel.com.tw/,83間,NT$4500-8800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
尊皇大飯店,嘉義市西區港坪里13鄰大華路250號,05-2832088,http://www.hotel-thh.com,122間,NT$3920-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
仲青行旅嘉義館,嘉義市西區光彩街622號,05-2240555,http://www.lighthostel.com,30間,NT$1000-5200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
安蘭居國際青年館,嘉義市西區蘭井街465號14樓之1,05-2290102,http://www.anlanjiehostel.com,6間,NT$5400-7200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
福泰桔子商旅─嘉義文化店,嘉義市西區文化路169號B2至9層樓,05-2162323,http://www.orangehotels.com.tw,95間,NT$8000-9000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
高橋飯店,嘉義市西區自強里新民路784之1號,05-2852121,http://www.hotelhi.com.tw,107間,NT$4800-16800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
嘉億時尚大飯店,嘉義市西區永和里垂楊路860號1~3、8~12層樓,05-2279588,http://www.hotelhi.com.tw,89間,NT$4800-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
耐斯王子大飯店,嘉義市東區忠孝路600號,05-2771999,http://www.niceprincehotel.com.tw,245間,NT$6000-80000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),5
華洲大飯店,嘉義市東區延平街195號,05-2232097,https://store.bluezz.tw/c.php?id=2356,25間,NT$750-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
兆品酒店,嘉義市西區文化路257號B2-9樓,05-2293998,http://chiayi.maisondechinehotel.com/tw/index.php,185間,NT$6200-53000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
香湖國際大飯店,嘉義市西區友忠路559號B1至9樓,05-2311999,-,127間,NT$5000-9000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
冠閣大飯店,嘉義市西區忠順一街27號1-6樓,05-2318111,http://www.guanko-hotel.com.tw,74間,NT$7000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
夏禾國際行舘,嘉義市西區大華路50號,05-2836288,http://www.sunseeding.com,105間,NT$6000-7000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
禾楓汽車旅館(禾楓嘉義館),嘉義市西區竹圍四路25號,05-2911111,http://www.hhsm.com.tw,31間,NT$3680-3980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
都市叢林旅館,嘉義市西區四維路269號,05-2314042,http://www.jcmotel.tw,39間,NT$3600-4600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
鉅陞嘉客亮點旅店,嘉義市西區仁愛路560號,05-2160200,http://www.mega-hotel.com.tw,81間,NT$6980-15880(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
波士頓大飯店,嘉義市西區中正路673號,05-2289977,-,35間,NT$1390-1390(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
康正偶然行旅,嘉義市東區過溝里蘭井街167號,05-2228111,-,26間,NT$6480-13200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
優仕大飯店,嘉義市西區八德路40號1-10樓,05-2332030,-,72間,NT$2700-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2
承億文旅桃城茶樣子,嘉義市東區忠孝路516號,05-2280555,-,55間,NT$8800-18200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
蘭桂坊花園酒店,嘉義市西區延平街250號,05-2288228,http://www.lankwaifonghotel.com.tw,70間,NT$5800-14080(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
麗景精品休閒旅館,嘉義市東區嘉南街137號1-4樓,05-2787999,http://www.li-gin.com.tw,40間,NT$4380-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
