旅宿民稱,地址,電話,官方網站,總房間數,定價,星級
高峰大飯店,嘉義縣阿里山鄉中正村東阿里山41號,05-2679411,http://www.alishan.net.tw/kaofeng/,41間,NT$6000-6500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
悅來居,嘉義縣民雄鄉秀林村林子尾75-3號,05-2202633,-,5間,NT$2100-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
鷺露茶居民宿,嘉義縣梅山鄉太興村7鄰溪頭28之1號,05-2571872,http://https://www.facebook.com/LookTeaHouse/,4間,NT$4400-4400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
欣采民宿,嘉義縣梅山鄉太和村樟樹湖27號,05-2561219,-,5間,NT$2500-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
文山賓館,嘉義縣阿里山鄉中正村東阿里山40號,"05-2679627,712",http://wunsun.tw,49間,NT$4000-6600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
灣橋山林會館民宿,嘉義縣竹崎鄉灣橋村16鄰灣橋184巷2之1號,0928-163239,-,5間,NT$3600-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
童年原野民宿,嘉義縣番路鄉下坑村下坑45之12號,05-2590536,-,1間,NT$5200-5200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
童年星辰民宿,嘉義縣番路鄉下坑村下坑45-11號,05-2590536,-,1間,NT$5200-5200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
湘庭民宿,嘉義縣竹崎鄉中和村石棹13-1號,05-2561345,-,2間,NT$1200-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
童年陽光民宿,嘉義縣番路鄉下坑村下坑45之16號,05-2590536,-,1間,NT$5200-5200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
蟀哥農家民宿,嘉義縣六腳鄉六腳村六腳10號,05-3781234,-,3間,NT$6000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
阿漢的家民宿,嘉義縣梅山鄉瑞里村79號,05-2501011,http://www.rensheng.com.tw,5間,NT$2500-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
