旅宿民稱,地址,電話,官方網站,總房間數,定價,星級
馥嘉商務旅館,基隆市仁愛區忠四路11巷5號1-4樓,02-24224667,-,23間,NT$3500-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
金金商務旅館,基隆市仁愛區忠二路58號4-8樓,02-24231688,-,80間,NT$3200-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
長榮桂冠酒店(基隆),基隆市中正區中正路62號之1,02-24279988,http://www.evergreen-hotels.com/branch/Keelung,141間,NT$8000-20000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
柯達大飯店,基隆市中正區基隆市中正區義一路7號9號1-8樓,02-24230111,http://www.khotel.com.tw,68間,NT$2750-4470(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
大華商旅,基隆市仁愛區精一路15號6-9樓,02-24246391,http://www.dahuahotel.com.tw,70間,NT$3400-7000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
永豐旅社,基隆市仁愛區愛三路49巷14號2-3樓,02-24232137-8,-,14間,NT$2800-4220(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
金華大旅社,基隆市仁愛區成功一路9號5-8樓,02-24238181,http://jinhwahotel.com.tw,40間,NT$2800-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
北極星汽車旅館,基隆市安樂區樂利三街21號,02-24320099,https://www.facebook.com/pages/category/Motel/%E5%8C%97%E6%A5%B5%E6%98%9F%E7%B6%93%E5%85%B8%E6%B1%BD%E8%BB%8A%E6%97%85%E9%A4%A8-626540674122737/,51間,NT$5280-5280(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
國都旅館,基隆市仁愛區仁一路303巷13號,02-24221010,-,9間,NT$1500-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
香草藝術旅店,基隆市信義區義三路6號1-5樓,02-24254688-91,http://www.herbart.com.tw/,20間,NT$3600-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
