旅宿名稱,地址,電話,官方網站,總房間數,定價,定價i,星級
福容大飯店桃園,桃園市桃園區大興西路1段200號,03-3265800,http://www.fullon-hotels.com.tw/ty/,182間,NT$0-11500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),0,4
中和旅社,桃園市大溪區中正路31號,03-3872366,-,9間,NT$300-500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),300,-
新和大旅社,桃園市桃園區廣文街26號1-3樓,03-3352153,-,15間,NT$500-500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
愛愛大旅社,桃園市中壢區新興路116號1-4樓,03-4684118,-,22間,NT$500-650(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
愛月旅社,桃園市楊梅區光復街15號2-3樓,03-4782367,-,10間,NT$500-600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
天祥旅社,桃園市桃園區廣文街19號,03-3323479,-,15間,NT$600-600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
漢宮大旅社,桃園市桃園區長壽街9號,03-3327189,-,20間,NT$600-600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
小巷內,桃園市大溪區中央路52號之3,03-3881052,-,5間,NT$600-2600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
三坑老爹,桃園市龍潭區三坑里19鄰永昌路51巷18弄18號,03-4115350,-,4間,NT$600-700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
綠島大旅社,桃園市桃園區廣文街15號,03-3344121,-,23間,NT$600-700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
中南旅社,桃園市桃園區廣文街27號2-4樓,03-3323684,-,16間,NT$600-700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
月谷大旅館,桃園市中壢區中華路一段428號3-5樓,03-4555132,-,14間,NT$650-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),650,-
龍安旅社,桃園市龍潭區北龍路30號2-3樓,03-4792109,-,9間,NT$650-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),650,-
中正美學飯店,桃園市龍潭區中正路206號,03-4792364,http://fenglinhotel.com.tw,25間,NT$750-1300(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),750,-
和樂賓館,桃園市八德區介壽路二段1149號1-3樓,03-3683969,-,12間,NT$800-800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
東帝位客棧,桃園市中壢區新興路250號,03-4573152,-,25間,NT$800-800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
五木旅社,桃園市中壢區中正路15號8樓之1.11.17.19.21,03-4255970,-,5間,NT$800-800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
羅曼蒂旅社,桃園市中壢區中正路15號9樓之1.2.3.4.7.9.10.13.14.16.18.20,03-4258269,-,12間,NT$800-800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
壽樂大飯店,桃園市楊梅區大成路48號2-3樓,03-4783133,-,20間,NT$800-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
龍觀旅館,桃園市楊梅區永美路221號,03-4822359,-,22間,NT$800-800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
