旅宿名稱,地址,電話,官方網站,總房間數,定價,定價i,星級
隨緣居民宿,澎湖縣湖西鄉隘門村10鄰63號,06-9218419,-,4間,NT$700-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),700,-
望安民宿,澎湖縣望安鄉東安村59號,06-9991222,-,5間,NT$700-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),700,-
望安渡假中心,澎湖縣望安鄉東安村73之9號,06-9991200,https://www.facebook.com/%E6%9C%9B%E5%AE%89%E6%B8%A1%E5%81%87%E4%B8%AD%E5%BF%83-277101685783062/,16間,NT$800-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
微風民宿,澎湖縣馬公市西衛里五福路201巷9弄6號,0911-384915,-,3間,NT$800-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
討海人的家民宿,澎湖縣西嶼鄉外垵村4-35號,06-9982440,-,4間,NT$800-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
花梨客棧民宿,澎湖縣馬公市光榮里27鄰文光路188巷5號,06-9264488,http://www.taiwan-learningchinese.com,4間,NT$800-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
春草民宿,澎湖縣湖西鄉湖西村8鄰169號之1,06-9921033,-,5間,NT$800-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
名揚山莊民宿(特色民宿),澎湖縣白沙鄉吉貝村182-8號,06-9911113,-,10間,NT$900-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),900,-
哈利路亞民宿,澎湖縣馬公市重光里五福路201巷8弄1號,06-9272406,-,3間,NT$1000-2600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
百慶旅社,澎湖縣馬公市三民路16號,06-9260021,-,15間,NT$1000-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
菜宅民宿,澎湖縣湖西鄉湖西村1鄰湖西103號,0985-285812,-,5間,NT$1000-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
天悅民宿,澎湖縣西嶼鄉池東村32之3號,06-9981001,-,1間,NT$1000-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
捌貳趣民宿,澎湖縣馬公市光榮里20鄰自強街20巷4號,0955-344250,-,4間,NT$1000-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
澎澎灘渡假村民宿,澎湖縣白沙鄉鳥嶼村289號,06-9916311,-,5間,NT$1100-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1100,-
元裕渡假旅館,澎湖縣馬公市陽明路92巷1號、1之1號、1之2號、1之3號,0921-203269,-,18間,NT$1200-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
快樂民宿,澎湖縣馬公市中央里中正路21號,06-9274234,-,4間,NT$1200-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
海洋格子民宿,澎湖縣馬公市西文里文德路13號,06-9261669,-,5間,NT$1200-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
珊瑚海民宿,澎湖縣馬公市鎖港里1021號,06-9951941,-,5間,NT$1200-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
愛鄉民宿,澎湖縣馬公市中央里正義街14號,06-9279296,-,5間,NT$1200-2600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
三步舞石民宿,澎湖縣白沙鄉吉貝村182-5號,06-9911280,-,3間,NT$1200-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
案山民宿,澎湖縣馬公市案山里21鄰大案山105號,06-9212443,-,3間,NT$1200-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
別野山莊民宿,澎湖縣白沙鄉吉貝村183-9號,06-9911278,-,4間,NT$1200-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
星空鯨魚民宿,澎湖縣馬公市西衛里25鄰西衛246之1號,06-9265010,-,15間,NT$1200-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
海之島民宿,澎湖縣馬公市中央里中山路34號,06-9273427,-,5間,NT$1200-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
蘋果香味民宿,澎湖縣馬公市重慶里光明路1之111號,06-9214036,-,5間,NT$1200-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
幸運草民宿,澎湖縣白沙鄉赤崁村12-1號,06-9931323,-,4間,NT$1200-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
芝蘭苑民宿,澎湖縣馬公市東衛里19鄰東衛6之19號,0922-501198,-,5間,NT$1200-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
雙心民宿,澎湖縣湖西鄉鼎灣村92號,06-9211520,-,4間,NT$1300-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
黑毛磯釣民宿,澎湖縣馬公市石泉里24號之5,06-9219096,-,5間,NT$1300-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
春發民宿(特色民宿),澎湖縣湖西鄉湖西村8鄰湖西169號,06-9921033,-,12間,NT$1300-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
菊子民宿,澎湖縣馬公市陽明里大智街24巷27弄22號,06-9260860,-,5間,NT$1400-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
華馨大飯店,澎湖縣馬公市三民路40號,06-9264911,https://huaxin-hotel.ego.tw/,40間,NT$1400-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
虎井海島休閒民宿,澎湖縣馬公市虎井里75之9號,06-9291006,-,5間,NT$1400-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
天星民宿,澎湖縣馬公市陽明里24鄰光復路104號,0933-232036,-,5間,NT$1400-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
百合民宿,澎湖縣馬公市東文里2-1號,06-9212498,http://www.bai-he.com.tw/,3間,NT$1400-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
珊瑚礁民宿,澎湖縣馬公市光復里中華路17號,06-9268970,-,5間,NT$1400-2700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
福星民宿,澎湖縣馬公市案山里民樂街68號,0921-589936,-,4間,NT$1500-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
佳園民宿,澎湖縣馬公市石泉里13鄰石泉1號之201,06-9273891,-,5間,NT$1500-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
西衛香花園民宿,澎湖縣馬公市西衛里15鄰西衛221之2號,06-9263173,https://www.facebook.com/Shiang.Garden880/?ref=bookmarks,5間,NT$1500-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
岐頭親水民宿,澎湖縣白沙鄉岐頭村岐頭45-6號,06-9931975,https://www.facebook.com/citou.homestay/,4間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
佳圓民宿,澎湖縣馬公市石泉里13鄰石泉1之200號,06-9273891,-,5間,NT$1500-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
東信民宿,澎湖縣馬公市中興路12號,06-9279123,-,5間,NT$1500-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
天邊民宿,澎湖縣馬公市光明里30民族路119號,06-9266078,-,4間,NT$1500-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
