旅宿民稱,地址,電話,官方網站,總房間數,定價,星級
樂活民宿,臺東縣臺東市岩灣里文昌路61號,089-233203,http://www.lohasbnb.com,4間,NT$4200-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
佳美髮民宿,臺東縣臺東市更生路1104號,089-226139,http://www.v8142.url.tw/info.html,3間,NT$3000-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
成功8號民宿,臺東縣臺東市成功路8號,089-325251,-,5間,NT$4800-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
安德飯店,臺東縣綠島鄉南寮村漁港路6之1號1-2樓,089-672520,-,5間,NT$500-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
馬卡巴嗨文創,臺東縣臺東市更生路517號,0963-820380,-,5間,NT$4500-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
忘憂﹝如意﹞館,臺東縣太麻里鄉大王村太峰路145號,089-782489,-,23間,NT$1980-6600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2
雀屏山莊,臺東縣卑南鄉溫泉村龍泉路113巷25號,089-322591,-,4間,NT$2000-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
沐月心宿民宿,臺東縣臺東市志航路1段412巷18弄11號,0962-076733,-,4間,NT$3300-4600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
克卜勒民宿,臺東縣鹿野鄉龍田村3鄰龍三路112巷20號,089-551891,https://www.facebook.com/Kepler2016/?ref=aymt_homepage_panel&eid=ARDh6FM8mESba_ulOBGJxMwpHyQl3LWJAD8ca6cTVYDrYD017IVsuyEwtO65TobGzOyc_NqhKSqNf8mS,3間,NT$4500-5200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
嘟嘟好民宿,臺東縣鹿野鄉永安村鹿寮路82巷22號,0933371068-0933371415,http://dudu.yoyotaitung.com.tw/,5間,NT$4500-6500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
蘭舍民宿,臺東縣臺東市青海路四段491巷26號,0972-802225,-,3間,NT$2500-3900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
畫日風尚休閒會館,臺東縣長濱鄉南竹湖26-3號1-3樓,089-832558,-,15間,NT$9800-12600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
比砂麓民宿,臺東縣延平鄉桃源村昇平路160-1號,0928-169312,-,4間,NT$2800-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
凱旋新宿商旅,臺東縣臺東市復興里福建路243號1-5樓,089-311777,-,40間,NT$4500-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
瑪拉松民宿,臺東縣臺東市知本路三段398巷27號,0988-327269,-,4間,NT$4500-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
台東四季民宿,臺東縣臺東市興安路一段690號,0910-580999,-,4間,NT$4000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
艾蜜麗庭園別墅,臺東縣臺東市志航路1段412巷30號,089-357643,http://emaly.travel123.tw/index.htm,5間,NT$1500-3500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
東糖29民宿,臺東縣臺東市光明里東糖街29號,089-226662,-,3間,NT$3200-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
如意曙光渡假酒店,臺東縣太麻里鄉大王村太峰路147號,089-782489,-,73間,NT$5200-7200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
塔羅之昕民宿,臺東縣臺東市中正路173號,0938-253698,-,3間,NT$3200-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
