旅宿名稱,地址,電話,官方網站,總房間數,定價,定價i,星級
女王萬歲民宿,花蓮縣花蓮市國盛里23鄰國民八街111號,03-8316005,-,5間,NT$100-6500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),100,-
挪威森林民宿,花蓮縣花蓮市國盛里國民八街113號,03-8316005,-,5間,NT$100-5600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),100,-
花綠屋民宿,花蓮縣花蓮市國防里明智街80號,03-8310601,-,3間,NT$250-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),250,-
金采典民宿,花蓮縣壽豐鄉志學村15鄰久富19之2號,0905-295536,-,15間,NT$300-700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),300,-
東南民宿,花蓮縣瑞穗鄉瑞美村中山路一段115號,0963-123271,-,2間,NT$350-350(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),350,-
小花公寓民宿,花蓮縣花蓮市民國路63號,0989-339650,-,4間,NT$400-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),400,-
嵐海民宿,花蓮縣新城鄉新城村9鄰中正路24號,0933-069602,-,3間,NT$500-35000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
時雨民宿,花蓮縣玉里鎮中城里18鄰城西一街98號,0960-369434,-,4間,NT$500-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
歡迎光臨民宿,花蓮縣花蓮市民生里大禹街4號,0913-869890,-,4間,NT$600-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
國賓旅社,花蓮縣豐濱鄉豐濱村2鄰三民路30號,03-8791135,-,26間,NT$600-800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
花蓮未央藝術民宿,花蓮縣吉安鄉南昌村昌隆八街10巷2號,03-8525268,-,3間,NT$600-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
樟之園民宿,花蓮縣鳳林鎮林榮里林榮路235號,03-8772198,-,5間,NT$600-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
晨曉家民宿,花蓮縣吉安鄉吉安村22鄰吉昌二街246巷5號,0977-003317,-,5間,NT$600-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
雨晴民宿,花蓮縣吉安鄉吉安村17鄰中興路186巷5號,0928-637830,-,3間,NT$700-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),700,-
福大旅館,花蓮縣花蓮市國聯里23鄰國興二街72號,03-8340854,-,9間,NT$700-900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),700,-
東泰旅社,花蓮縣光復鄉大安村19鄰中正路一段146號,03-8701056,-,9間,NT$700-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),700,-
GO睏民宿,花蓮縣花蓮市國聯里19鄰國興四街2巷10號,0930-536220,-,4間,NT$700-2100(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),700,-
東華八號民宿,花蓮縣壽豐鄉平和村三區8號,03-8662122,-,4間,NT$800-1900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
張三ㄟ厝民宿,花蓮縣花蓮市主勤里自由街102號,03-8337482,-,3間,NT$800-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
永祺飯店,花蓮縣花蓮市國聯里14鄰國聯一路139號,03-8356111-2,-,25間,NT$800-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
家鄉民宿,花蓮縣花蓮市國興三街97號,03-8310209,http://www.hlturkey.com/,5間,NT$800-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
田園民宿,花蓮縣玉里鎮三民里三軒31-12號,03-8841005,http://www.field-house.com.tw,5間,NT$800-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
福錦大旅社,花蓮縣玉里鎮國武里19鄰中正路91號,03-8883156,-,22間,NT$800-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
鳥窩青年旅舍民宿,花蓮縣花蓮市國聯里23鄰國民五街5號,0930-461441,-,5間,NT$800-2100(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
鳳冠大飯店,花蓮縣秀林鄉和平村2鄰107號,03-8681016,-,17間,NT$800-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
森林啡宿民宿,花蓮縣吉安鄉慶豐村23鄰慶北一街165之1號,0952-212508,-,4間,NT$900-1400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),900,-
阡豪民宿,花蓮縣花蓮市主計里廣東街198號,03-8327788,http://www.netete.com/qianhao/,5間,NT$1000-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
品悅文旅旅館,花蓮縣花蓮市花蓮市主信里8鄰南京街155號,03-8342166,http://www.pinkcorner.com.tw/,15間,NT$1000-28000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
艾里民宿,花蓮縣吉安鄉北昌村38鄰莊敬路267巷2號,0966-559920,-,4間,NT$1000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
九乘九民宿,花蓮縣花蓮市府前路296巷5號,0975-022988,-,5間,NT$1000-1300(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
澹雅居民宿,花蓮縣秀林鄉秀林村民治115之1號,03-8610770,-,2間,NT$1000-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
雲山水綠野雅築民宿,花蓮縣壽豐鄉豐坪村11鄰東富街100號,0937-979498,-,5間,NT$1000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
太陽花民宿,花蓮縣花蓮市國裕里6鄰富吉路94號,0972-192675,-,5間,NT$1000-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
海濱民宿,花蓮縣花蓮市主和里福建街271號,03-8321060,-,2間,NT$1000-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
綠葉民宿,花蓮縣壽豐鄉志學村久富25號,0933-996098,-,5間,NT$1000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
東興旅社,花蓮縣玉里鎮中城里30鄰光復路130號,03-8882017,-,8間,NT$1000-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
小張的家民宿,花蓮縣吉安鄉仁安村海岸路377號,03-8310958,-,4間,NT$1000-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
外婆的家民宿,花蓮縣壽豐鄉豐裡村四維路1-6號,03-8655076,-,3間,NT$1000-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
成功旅宿民宿,花蓮縣花蓮市主和里9鄰成功街95號,0985-565873,-,1間,NT$1000-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
去七星潭民宿,花蓮縣新城鄉大漢村2鄰明潭街8之1號,0928-299248,-,4間,NT$1000-9500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
山下旺宅民宿,花蓮縣玉里鎮德武里2鄰能雅34號,0963-008301,-,1間,NT$1000-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
夥伴旅宿民宿,花蓮縣花蓮市國聯里15鄰國興二街113號,0932-521589,-,5間,NT$1000-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
靚仔點民宿,花蓮縣吉安鄉仁安村16鄰海岸路637巷46號,0911-383013,-,3間,NT$1000-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
找冰棒民宿,花蓮縣玉里鎮國武里1鄰民安一街18號,0915-355102,-,3間,NT$1000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
宿里民宿,花蓮縣花蓮市民有里16鄰海濱街119巷7之1號,0975-089669,-,2間,NT$1000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
歐文小鎮民宿,花蓮縣吉安鄉慶豐村40鄰慶北一街226號,0922-298772,-,3間,NT$1000-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
太魯閣蘇西小空間民宿,花蓮縣新城鄉新城村中正路20號,03-8611769,-,4間,NT$1100-1100(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1100,-
和平大旅社,花蓮縣玉里鎮中城里29鄰和平路51號,03-8883146,-,32間,NT$1100-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1100,-
遠山蓮園民宿,花蓮縣壽豐鄉豐山村6鄰和平街45號,03-8655377,-,5間,NT$1100-1100(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1100,-
樸實居民宿,花蓮縣新城鄉北埔村樹林街233巷1弄12號,03-8269886,-,3間,NT$1100-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1100,-
悠然自得民宿,花蓮縣花蓮市豐村91-13號,03-8573137,-,3間,NT$1100-1100(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1100,-
方翊民宿,花蓮縣吉安鄉南昌村文化七街27-1號,03-8536359,-,2間,NT$1200-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
美地雅居民宿,花蓮縣玉里鎮國武里興國路一段281號,0910-552190,http://www.6868meidiya.com,4間,NT$1200-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
住英台民宿,花蓮縣吉安鄉東昌村東海十街125號,0988-163603,http://www.butterflyloversbnb.com/,5間,NT$1200-9900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
海邊海民宿,花蓮縣花蓮市民勤里民權8街21號,0926-137-398,http://www.teak87.com,3間,NT$1200-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
奇萊大飯店,花蓮縣花蓮市主睦里6鄰和平路336號8-9樓,03-8356141,-,26間,NT$1200-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
一生一世民宿,花蓮縣吉安鄉北昌村1鄰自立路二段13號,0932-917731,-,4間,NT$1200-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
奇楓民宿,花蓮縣花蓮市復興街106號,0912-226521,-,5間,NT$1200-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
自在園民宿,花蓮縣秀林鄉佳民村佳民95-6號,03-8268000,-,4間,NT$1200-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
市居民宿,花蓮縣玉里鎮中山路二段121號,0932-651286,-,5間,NT$1200-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
伊莉莎白小屋民宿,花蓮縣壽豐鄉豐裡村豐正路1段27號,0933-157732,-,4間,NT$1200-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
櫻花民宿,花蓮縣吉安鄉仁安村14鄰南海四街11之2號,0966-505989,-,4間,NT$1200-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
豐南小田莊民宿,花蓮縣富里鄉豐南村永豐102號,03-8830165,-,2間,NT$1200-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
德蕾莎,花蓮縣豐濱鄉靜浦村靜浦9號,03-8781560,-,5間,NT$1200-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
御之宿民宿,花蓮縣壽豐鄉志學村9鄰中正路296號,0988-275596,-,2間,NT$1200-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
吉吉小鎮民宿,花蓮縣吉安鄉宜昌村吉祥四街16之1號,03-8512217,-,3間,NT$1200-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
真善美民宿,花蓮縣吉安鄉福興村吉昌三街267巷30號,03-8534336,-,4間,NT$1200-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
旅行者之家民宿,花蓮縣花蓮市國聯里15鄰國聯二路82號,03-8352868,-,4間,NT$1200-2600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
小熊城堡民宿,花蓮縣花蓮市東興二街26號,0980-367665,-,3間,NT$1200-2600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
山水故鄉民宿,花蓮縣吉安鄉吉祥五街7號,0932-521044,-,3間,NT$1200-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
潤民宿,花蓮縣花蓮市民運里2鄰中興路130號,0937-977177,-,4間,NT$1200-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
小米院子親子民宿,花蓮縣吉安鄉仁安村16鄰海岸路645巷42弄15號,0919-354827,-,4間,NT$1200-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
二拾初心民宿,花蓮縣新城鄉北埔村21鄰復興路325巷20號,0975-017507,http://20originalmind.bnbhl.net/,4間,NT$1280-4880(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1280,-
FUN文旅民宿,花蓮縣花蓮市國魂里延平街223號,0919-356326,-,4間,NT$1280-5080(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1280,-
悠閒民宿,花蓮縣吉安鄉干城村8鄰吉安路六段419巷17號,0933-146294,-,3間,NT$1280-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1280,-
橘園民宿,花蓮縣吉安鄉干城村8鄰吉安路六段419巷19號,0975-838937,-,3間,NT$1280-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1280,-
看見花蓮民宿,花蓮縣吉安鄉宜昌村9鄰南山二街43之5號,0987-588588,-,1間,NT$1280-1980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1280,-
花蓮東華芭那那花園民宿,花蓮縣壽豐鄉志學村志光街20巷2-1號,0937-880716,-,1間,NT$1300-3300(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
夏朵內民宿,花蓮縣吉安鄉慶豐村慶豐十一街212號,03-8652181,-,4間,NT$1300-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
鐵掌櫃茶舍民宿,花蓮縣富里鄉竹田村雲閩26號,03-8821670,-,5間,NT$1300-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
一心居民宿,花蓮縣花蓮市國裕里8鄰富吉路39號,03-8574008,http://yixinju.hlbnb.tw/,5間,NT$1300-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
維納斯民宿,花蓮縣吉安鄉慶豐村39鄰慶豐十三街140巷1號,0909-131800,-,3間,NT$1300-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
牠的足跡民宿,花蓮縣吉安鄉仁里村17鄰仁里八街39巷1號,0933-132094,-,3間,NT$1300-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
可愛之家民宿,花蓮縣花蓮市國強里3鄰豐村36之7號,0984-520560,-,3間,NT$1350-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1350,-
花蓮幸福時光民宿,花蓮縣吉安鄉東昌村15鄰東里十五街41之1號,0921-864021,https://www.happytime41.com,5間,NT$1400-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
