旅宿民稱,地址,電話,官方網站,總房間數,定價,星級
家適咖啡.民宿,連江縣北竿鄉芹壁村51號,0836-56669,https://www.facebook.com/JUST.coffee.hostel,3間,NT$4200-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
芹壁村25號之老村長的漁寮,連江縣北竿鄉芹壁村24號,0836-55628,http://www.chinbe.com.tw,3間,NT$4000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
三隻腳民宿,連江縣南竿鄉馬祖村23號,0836-25580,-,5間,NT$3200-5600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
百合客棧,連江縣莒光鄉大坪村31號,0836-88018,-,4間,NT$2500-5600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
聽海民宿,連江縣南竿鄉津沙村26號,0836-23003,-,2間,NT$3800-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
日光春和,連江縣南竿鄉仁愛村1之1號,0836-26666,https://www.dayspringmatsu.com/,12間,NT$5500-8900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
碧雲天渡假村,連江縣北竿鄉塘岐村255號,0836-55461,http://hotel.matsu.idv.tw/bluesky/,13間,NT$3000-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
夫人民宿,連江縣南竿鄉四維村40之1號,0836-25138,http://www.furen.com.tw/,2間,NT$4800-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
津沙真好窩,連江縣南竿鄉津沙村64號,0919-280564,-,2間,NT$3500-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
田園山莊民宿,連江縣北竿鄉坂里村36號,0836-55423,-,5間,NT$1500-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
牛角好窩民宿餐飲,連江縣南竿鄉復興村149號,0836-23530,-,4間,NT$2500-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
馬祖依嬤民宿,連江縣南竿鄉復興村77號,0836-26688,-,4間,NT$1600-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
東引海角民宿二館,連江縣東引鄉中柳村138號,0836-76268,-,3間,NT$1800-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
津沙客棧,連江縣南竿鄉津沙村12號,0836-23020,-,5間,NT$2000-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
議長的家Villa,連江縣北竿鄉后沃村1號及1之1號,0933-008133,-,2間,NT$1300-4300(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
億客來民宿,連江縣北竿鄉塘岐村267之2號,0988-066232,-,4間,NT$2800-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
東方明珠網路民宿,連江縣南竿鄉介壽村88號,0836-26187,-,11間,NT$2000-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
星漾海景民宿(特色民宿),連江縣北竿鄉橋仔村127號,0836-56699,http://www.star-yang.com,9間,NT$4000-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
安逸旅店,連江縣東引鄉樂華村81號,0928-242767,-,10間,NT$2800-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
舒漫活海景旅宿,連江縣北竿鄉橋仔村85號,0836-55685,http://www.lohaslife.tw,8間,NT$4200-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
津沙古街客居,連江縣南竿鄉津沙村100號,0836-26190,-,1間,NT$3600-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
盈賓民宿,連江縣東引鄉樂華村78號,0836-77367,-,1間,NT$2400-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
福正民宿,連江縣莒光鄉福正村10號,0836-88213,-,5間,NT$2500-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
馬祖1青年民宿,連江縣南竿鄉津沙村71號,0836-23353,http://www.matsuhostel.com,5間,NT$3600-10800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
遊戲民宿,連江縣東引鄉樂華村163號,0836-76553,-,4間,NT$1200-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
卡蹓英雄館,連江縣南竿鄉馬祖村101之1號,0836-25025,http://www.kaliu.com.tw,15間,NT$5600-5600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
芹壁山城民宿,連江縣北竿鄉芹壁村71號,0836-55630,-,5間,NT$3500-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
邊辰海景民宿,連江縣東引鄉樂華村40號,0836-76053,-,4間,NT$3000-3400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
津沙民宿,連江縣南竿鄉津沙村133號,0836-22765,-,2間,NT$3600-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
東莒幸福居民宿,連江縣莒光鄉大坪村106之1號,0836-89021,-,3間,NT$4800-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
東引小棧民宿,連江縣東引鄉樂華村148號,0932-262281,-,3間,NT$3000-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
芹壁幸福海岸民宿,連江縣北竿鄉芹壁村19號,0836-55355,-,2間,NT$2800-4600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
津沙文化村,連江縣南竿鄉津沙村70號,0836-26190,-,3間,NT$4800-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
龍福山莊,連江縣北竿鄉塘岐村273-8號,0836-55066,-,70間,NT$4600-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
馬悠驛館,連江縣南竿鄉仁愛村4號3樓,0836-23239,-,3間,NT$3000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
全壘打民宿,連江縣東引鄉中柳村107號,0836-77054,-,2間,NT$2400-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
大新民宿,連江縣北竿鄉塘岐村232號,0836-55455,-,5間,NT$2400-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
東湧行旅旅店,連江縣東引鄉樂華村29號,0836-77168,-,15間,NT$2200-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
香格里拉休閒民宿,連江縣東引鄉樂華村128號,0836-76191,https://www.facebook.com/%E6%9D%B1%E5%BC%95%E9%A6%99%E6%A0%BC%E9%87%8C%E6%8B%89%E4%BC%91%E9%96%92%E6%B0%91%E5%AE%BF-130481437000965/,4間,NT$3000-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
東聲民宿,連江縣東引鄉中柳村106號,0836-77306,https://www.facebook.com/%E6%9D%B1%E8%81%B2%E6%B0%91%E5%AE%BF-814663715210307/,2間,NT$2400-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
福澳窩背包客民宿,連江縣南竿鄉福沃村89號,0937-883091,-,2間,NT$800-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
鴻景山莊民宿,連江縣莒光鄉大坪村5之1號,0836-88033,-,3間,NT$3400-3400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
黃金沙灘民宿,連江縣莒光鄉大坪村62號,0836-88246,-,4間,NT$1800-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
芹壁愛情海,連江縣北竿鄉芹壁村54號,0836-56668,-,3間,NT$2800-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
民生民宿,連江縣東引鄉樂華村92號,0836-76039,-,4間,NT$2000-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
船老大民宿,連江縣莒光鄉大坪村72號,0836-88022,-,1間,NT$3200-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
大浦民宿,連江縣莒光鄉大坪村100之1號,0836-88039,-,4間,NT$5200-6600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
多麗民宿,連江縣南竿鄉介壽村219號,0836-22034,-,5間,NT$2000-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
梅好石屋,連江縣北竿鄉芹壁村73號,0933-769967,-,2間,NT$2800-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
故鄉民宿(特色民宿),連江縣莒光鄉大坪村3鄰40之1號,0836-88080,http://www.matsuhometownbnb.com/,10間,NT$3000-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
馬蓋先民宿,連江縣東引鄉樂華村139號,0836-76277,-,3間,NT$2000-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
馬祖民宿,連江縣南竿鄉介壽村200號,0836-23404,-,3間,NT$3200-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
壁雲天民宿,連江縣北竿鄉塘岐村254號,0836-55471,-,9間,NT$3000-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
蔚藍珠海民宿,連江縣南竿鄉四維村20號,0836-26800,https://www.facebook.com/Blue.Zhuhai/,15間,NT$4500-5600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
芹壁地中海民宿,連江縣北竿鄉芹壁村68號(永康居),0836-56612,http://www.chinbe-village.com.tw/,5間,NT$2800-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
雲津客棧,連江縣南竿鄉馬祖村103-2號,0905-505811,-,9間,NT$5200-9600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
北海岸復興民宿,連江縣北竿鄉塘岐村78號,0836-55035,-,4間,NT$2800-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
