旅宿民稱,地址,電話,官方網站,總房間數,定價,星級
永利飯店,雲林縣古坑鄉草嶺村草嶺21-7號2-4樓,05-5831012,-,20間,NT$1800-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
風華渡假旅館,雲林縣虎尾鎮平和里平和20-15號,05-6366666,https://yunlin.orientluxuryhotel.com.tw/,31間,NT$7000-7000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
緻麗伯爵酒店,雲林縣斗六市中山路6號,05-5341666,https://www.grandearl-hotel.com/,121間,NT$3600-6500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),3
天上人間精品旅館,雲林縣斗六市北平路102號,05-5322111,http://paradiseyard.com.tw,27間,NT$2380-4980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
三好國際酒店,雲林縣斗六市斗六五路35號,05-5510999,-,226間,NT$4600-5500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
棕櫚島民宿,雲林縣古坑鄉永光村光昌路1-9號,05-5829111,-,5間,NT$4500-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
水道頭咖啡民宿,雲林縣北港鎮光民里東興街40號,05-7834865,-,5間,NT$2600-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
草嶺大飯店,雲林縣古坑鄉草嶺村草嶺36號,05-5831228,-,60間,NT$1800-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
憶鄉緣民宿,"雲林縣北港鎮新街里16鄰忠誠街29,31號",05-7836879,-,5間,NT$2000-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
凱登商務旅館,雲林縣斗六市中山路12號4-5樓,05-5330929,http://www.kdhotel.com.tw,34間,NT$2400-3800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
大自然民宿,雲林縣古坑鄉華山村華山56號,886-0911675322,https://nature.mmweb.tw/,3間,NT$1200-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
笨港客棧,雲林縣北港鎮仁和路7號,05-7832457,-,24間,NT$1200-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),-
