旅宿名稱,地址,電話,官方網站,總房間數,定價,定價i,星級
南美大旅社,雲林縣斗南鎮民權路26號,05-5973188,-,30間,NT$400-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),400,-
佳賓大旅社,雲林縣斗南鎮新興街203號,05-5973138-9,-,21間,NT$500-500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
永安大旅社,雲林縣斗南鎮永安街132號,05-5955111,-,36間,NT$500-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
良友旅社,雲林縣麥寮鄉橋頭村仁德路136號,05-6912132,-,6間,NT$550-550(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),550,-
世一旅社,雲林縣北港鎮中山路105號,05-7832225,-,30間,NT$600-600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
好住背包客棧,雲林縣北港鎮光明路20號,05-7832665,http://www.0932587227.com.tw/,5間,NT$700-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),700,-
親和旅社,雲林縣北港鎮中山路198號,05-7832455,-,17間,NT$700-1200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),700,-
亞泰賓館,雲林縣褒忠鄉王厝66號,05-6973517,-,7間,NT$750-750(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),750,-
好蝦民宿,雲林縣口湖鄉梧南村11鄰東興路1-1號,05-7905385,-,3間,NT$800-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
他里霧大旅社,雲林縣斗南鎮順安街65號,05-5973178,-,60間,NT$930-930(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),930,-
微旅時尚旅店,雲林縣斗六市太平路2號,05-5323955,https://www.booking.com/hotel/tw/wei-lu-shi-shang-lu-dian-yun-lin-hsien.zh-tw.html?aid=375639;label=msn-QIoG1ONUIocEXiJNPHaUaw-16816573443%3Atikwd-16761167072%3Aloc-40%3Aneo%3Amte%3Adec%3Aqsbooking%20%E8%A8%82%E6%88%BF;sid=4dad890572d77e2dfbed810f790b0883,20間,NT$1000-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
咖啡大街民宿,雲林縣古坑鄉華山村華山34-3號,05-5900402,-,5間,NT$1000-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
桂賓大旅社,雲林縣斗六市鎮北路1號,05-5324188,-,34間,NT$1000-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
群成旅社,雲林縣麥寮鄉麥津村中正路54號,05-6932044,-,16間,NT$1000-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
華南大旅社,"雲林縣虎尾鎮光復路346-1號1,3-4樓",05-6325823,-,24間,NT$1100-1100(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1100,-
大自然民宿,雲林縣古坑鄉華山村華山56號,886-0911675322,https://nature.mmweb.tw/,3間,NT$1200-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
笨港客棧,雲林縣北港鎮仁和路7號,05-7832457,-,24間,NT$1200-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
